{' Yes': -0.0062188194, 'Yes': -5.4882436, ' Generally': -6.715779, ' No': -8.289528, ' A': -8.50017}
{' No': -0.54692394, ' Yes': -0.90928966, 'No': -4.9281607, ' It': -5.5157714, 'Yes': -6.048272}
{' Yes': -0.086171255, ' No': -3.5810554, 'Yes': -4.120349, '\n': -4.1352777, ' It': -4.7889357}
{' Yes': -0.24248073, ' No': -1.9723544, ' It': -3.9079661, '\n': -4.1443706, 'Yes': -4.423019}
{' No': -0.3716438, ' Yes': -1.670693, 'No': -2.7878633, ' Ducks': -3.9004009, '\n': -4.0736165}
{' No': -0.6276225, ' Yes': -1.0976048, 'No': -3.1274602, ' Ducks': -3.8332593, '\n': -3.9115143}
{' Yes': -0.1867119, '\n': -2.3023334, ' No': -3.627227, 'Yes': -3.788877, ' ': -4.3099074}
{' Yes': -0.24684909, '\n': -2.3030698, ' No': -2.5985317, 'Yes': -3.7897737, ' ': -4.5776978}
{' No': -0.7396219, '\n': -0.9392793, ' Yes': -2.950834, 'No': -3.1147037, ' ': -3.908155}
{'\n': -0.90932345, ' No': -1.3645828, ' Yes': -1.4354141, ' Ducks': -3.2929254, 'No': -3.82861}
{' Yes': -0.011110788, ' No': -5.386271, 'Yes': -5.5440373, ' A': -7.0295014, ' ': -7.752901}
{' Yes': -0.12222912, ' No': -2.416884, ' It': -4.115624, 'Yes': -5.542002, ' A': -6.2460065}
{' No': -0.41147462, ' Yes': -1.1824689, 'No': -4.3019276, ' Ducks': -5.305224, '\n': -5.5275326}
{' No': -0.3816669, ' Yes': -1.2796429, 'No': -4.020415, ' It': -4.9570546, ' Ducks': -5.6862545}
{' Yes': -1.0261228, ' No': -1.1066396, '\n': -2.152315, 'No': -2.2541788, 'Yes': -3.148498}
{' Yes': -0.6732853, ' No': -1.3602931, '\n': -2.507041, 'No': -2.8931358, 'Yes': -3.1147583}
{' No': -0.40915918, 'No': -1.8679833, '\n': -2.1848052, ' Ducks': -3.8721125, ' Yes': -3.9101033}
{' Yes': -1.0191363, ' No': -1.3327065, '\n': -1.9875525, ' Ducks': -2.526844, 'No': -2.6654205}
{' Yes': -0.07378239, ' No': -3.7501566, ' A': -4.3432484, 'Yes': -4.452618, ' yes': -5.3176937}
{' Yes': -0.06003887, ' No': -3.7410214, ' A': -4.5569506, 'Yes': -4.946368, ' It': -5.4488764}
{' No': -0.56381404, ' Yes': -1.1864777, 'No': -3.008613, ' Ducks': -3.617561, '\n': -4.2991924}
{' Yes': -0.33945942, ' No': -1.5992478, ' Ducks': -3.908179, 'No': -4.184787, 'Yes': -4.2308164}
{' Yes': -0.057246685, 'Yes': -3.9547744, ' No': -4.1559463, ' A': -5.034675, ' Generally': -5.2596145}
{' Yes': -0.1563883, ' No': -3.0674505, ' It': -3.6424396, ' A': -3.8216827, 'Yes': -3.9283304}
{' No': -0.6669097, ' Yes': -1.3496394, 'No': -2.146257, ' Generally': -3.6249382, ' Ducks': -3.6958172}
{' No': -0.927206, ' Yes': -1.067087, 'No': -2.4268014, ' Ducks': -3.171086, ' Generally': -3.563854}
{' Yes': -0.47593924, ' No': -1.3171086, 'No': -2.6732295, 'Yes': -3.4776254, ' It': -5.1961083}
{' No': -0.3505095, 'No': -1.7839601, ' Yes': -2.7373464, ' It': -2.9922063, 'Yes': -5.518852}
{' No': -0.8390988, ' Yes': -1.0204859, 'No': -1.8672874, 'Yes': -3.981856, ' Generally': -4.3798723}
{' No': -0.9549137, ' Yes': -1.0197654, 'No': -1.9480245, ' It': -3.3722107, ' Generally': -3.7331004}
{' Yes': -0.09755344, 'Yes': -3.198961, ' No': -3.2590082, 'No': -4.8057384, ' It': -6.4409847}
{' Yes': -0.18741645, ' No': -2.169661, 'Yes': -3.6465912, 'No': -4.288208, ' It': -4.595032}
{' Yes': -0.65206605, ' No': -1.266486, 'No': -2.0691688, 'Yes': -2.9357173, '\n': -5.383631}
{' Yes': -0.45676634, ' No': -1.6282483, 'No': -2.7495444, 'Yes': -3.1715815, ' Ducks': -3.8138793}
{' Yes': -0.1727631, ' No': -1.995496, 'Yes': -4.4092283, 'No': -5.0097914, ' Generally': -6.890154}
{' Yes': -0.2497982, ' No': -1.6024307, 'Yes': -4.725081, 'No': -5.1035733, ' Generally': -6.317854}
{' No': -0.20943493, ' Yes': -2.2994292, 'No': -2.5725408, ' Generally': -5.1688523, 'Yes': -6.1165347}
{' Yes': -0.6714718, ' No': -0.9045307, 'No': -3.0715494, 'Yes': -4.333633, ' Generally': -4.5351605}
{' No': -0.8864427, 'No': -0.9761471, ' Yes': -2.2571397, ' Ducks': -3.610823, ' It': -3.7757688}
{' No': -0.7497019, 'No': -0.764236, ' Yes': -4.189033, ' It': -4.546062, '\n': -4.7514777}
{'No': -1.019118, ' No': -1.0989538, ' Yes': -1.820725, ' Ducks': -3.177647, 'Yes': -3.2225573}
{' Yes': -0.94317603, 'No': -1.707857, ' No': -1.7359979, 'Yes': -2.575945, ' Ducks': -2.7617967}
{' Yes': -0.27405527, ' No': -2.2290819, 'Yes': -2.9854658, 'No': -3.1498506, ' Duck': -4.324234}
{' No': -0.5512114, ' Yes': -1.6046686, 'No': -1.7391044, 'Yes': -4.4475336, ' Generally': -4.943104}
{' No': -0.6171748, 'No': -1.0999706, ' Yes': -2.3782318, ' Ducks': -4.222951, 'Yes': -4.5624604}
{' No': -0.7667797, 'No': -1.1752117, ' Yes': -2.1734667, ' Ducks': -2.9664524, ' Generally': -3.6164827}
{' Yes': -0.035614368, ' yes': -3.4997098, 'Yes': -5.673521, ' No': -7.7192173, ' ': -7.7945766}
{' Yes': -0.017214244, ' yes': -4.3179607, ' No': -6.37792, 'Yes': -6.416619, ' ': -8.642783}
{' Yes': -0.22821423, ' No': -1.706726, ' yes': -4.1061625, 'Yes': -5.9173446, 'No': -6.7844143}
{' Yes': -0.24341922, ' No': -1.586595, ' yes': -5.4195685, 'Yes': -6.0460634, '\n': -6.6365366}
{' Yes': -0.055496853, 'Yes': -3.90379, ' yes': -4.33495, ' No': -4.370604, '\n': -6.010477}
{' Yes': -0.11558148, ' No': -2.7448444, 'Yes': -4.2101555, ' yes': -4.599006, ' It': -4.8060074}
{' No': -0.46591982, ' Yes': -1.5259899, 'No': -2.2691386, ' It': -4.181477, '\n': -4.2750764}
{' No': -0.6193327, ' Yes': -1.2264036, 'No': -2.4555755, ' It': -3.3639083, '\n': -3.9862146}
{' Yes': -0.15433276, '\n': -3.011146, ' No': -3.3363776, 'Yes': -3.4045613, ' yes': -4.6849627}
{' Yes': -0.21545054, '\n': -2.5696414, ' No': -2.6560576, 'Yes': -3.702953, ' ': -5.116149}
{' No': -0.6117415, '\n': -1.7790694, ' Yes': -1.9253266, 'No': -2.3595195, ' Ducks': -4.1291723}
{' Yes': -0.6278176, ' No': -1.6721996, '\n': -1.694447, 'No': -3.3755858, 'Yes': -3.6740117}
{' Yes': -0.016825136, 'Yes': -5.30175, ' No': -5.5933933, ' yes': -5.7056713, ' It': -6.7094836}
{' Yes': -0.018716684, ' No': -4.9725094, 'Yes': -5.4677277, ' It': -5.998796, ' yes': -6.5539412}
{' Yes': -0.2180865, ' No': -1.7888225, 'No': -5.0485077, 'Yes': -5.1537538, ' Generally': -5.1924825}
{' Yes': -0.18198544, ' No': -2.017364, 'Yes': -4.907743, 'No': -5.0568557, ' It': -5.1214633}
{' No': -0.5599457, 'No': -1.4536796, ' Yes': -2.4196067, '\n': -2.67946, 'Yes': -4.1927695}
{' No': -0.6863435, ' Yes': -1.7422211, 'No': -1.8691725, '\n': -2.1020787, 'Yes': -3.8034823}
{' No': -0.6063707, 'No': -1.3922327, '\n': -1.9645859, ' Yes': -3.481689, ' ': -4.5418077}
{' No': -1.1265911, ' Yes': -1.1664566, '\n': -1.7841685, 'No': -2.1913168, 'Yes': -3.441006}
{' Yes': -0.17612287, ' yes': -2.0142996, 'Yes': -4.488405, '\n': -5.310377, ' It': -5.889921}
{' Yes': -0.12125808, ' yes': -2.474709, 'Yes': -4.8425426, '\n': -5.181593, ' It': -5.2148647}
{' Yes': -0.4368188, ' No': -1.5905436, ' yes': -2.6809804, 'No': -3.8133159, 'Yes': -3.9935212}
{' Yes': -0.35105377, ' No': -1.8759503, ' yes': -2.835478, '\n': -4.095074, ' Ducks': -4.328058}
{' Yes': -0.0055952566, 'Yes': -5.8719664, '\n': -7.0260186, ' yes': -7.3482065, ' No': -7.6615896}
{' Yes': -0.0057839644, 'Yes': -6.0964265, ' No': -6.472845, '\n': -7.4010816, ' yes': -7.733355}
{' No': -0.533782, ' Yes': -0.92696285, '\n': -4.8047776, 'No': -5.3999643, ' ': -6.2782545}
{' No': -0.47677857, ' Yes': -1.1107392, '\n': -3.690127, ' It': -4.96958, 'No': -5.0366216}
{' Yes': -0.22011173, '\n': -2.26618, ' No': -3.16361, ' ': -3.8289049, 'Yes': -4.1618004}
{' Yes': -0.13321736, '\n': -2.5836034, 'Yes': -4.1955223, ' ': -4.550421, ' No': -4.7808366}
{' No': -0.5786173, '\n': -1.3607694, ' Yes': -2.4859104, 'No': -2.9517517, ' ': -3.9469335}
{'\n': -0.9031212, ' No': -1.11873, ' Yes': -1.7327453, 'No': -3.4710593, ' ': -3.7652922}
{' Yes': -0.14724681, '\n': -2.7694087, ' No': -3.495769, 'Yes': -4.1807113, ' ': -4.2514677}
{' Yes': -0.36721128, '\n': -1.5437536, ' No': -3.1805294, ' ': -3.802865, 'Yes': -4.215958}
{' No': -0.37448195, '\n': -1.6162708, ' Yes': -3.0375104, 'No': -3.539584, ' ': -4.1034303}
{'\n': -0.9365577, ' Yes': -1.2200356, ' No': -1.6500511, ' Ducks': -2.9587438, ' ': -3.606403}
{' Yes': -0.025060374, ' No': -4.878015, '\n': -5.129226, ' ': -5.3073936, 'Yes': -5.6972075}
{' Yes': -0.045746453, ' No': -3.8628335, '\n': -4.508393, ' ': -5.1950364, 'Yes': -5.766743}
{' No': -0.40441427, ' Yes': -1.4594718, '\n': -2.954444, 'No': -4.0665617, ' ': -4.188266}
{' Yes': -0.7155351, ' No': -1.0230837, '\n': -2.2842703, ' ': -4.055213, 'No': -4.6211824}
{' No': -0.37570027, ' Yes': -1.6806738, 'No': -3.0196266, '\n': -3.0320644, ' ': -4.246168}
{' Yes': -0.59016925, ' No': -1.1589255, '\n': -2.9607651, 'No': -3.706916, 'Yes': -4.039878}
{' No': -0.1951284, '\n': -2.6979094, 'No': -2.7577846, ' Yes': -3.6195304, ' ': -4.157277}
{' Yes': -0.607048, ' No': -1.7002124, '\n': -1.869648, ' Ducks': -3.092344, ' ': -3.675182}
{' Yes': -0.08569878, '\n': -3.9818895, ' ': -4.120424, ' No': -4.143659, 'Yes': -4.4838185}
{' Yes': -0.0842165, '\n': -3.6512558, ' ': -4.1184783, ' No': -4.512458, ' A': -4.6715555}
{' No': -0.5027545, ' Yes': -1.181683, 'No': -3.463894, '\n': -4.2238903, ' Ducks': -4.264805}
{' Yes': -0.67729807, ' No': -0.98286474, '\n': -3.397589, ' Ducks': -3.623518, ' ': -4.0852184}
{' No': -0.0369995, 'No': -4.067357, ' Generally': -5.2419133, ' It': -5.2932134, ' A': -5.526086}
{' No': -0.1985626, ' Yes': -2.4741304, ' A': -3.2993526, ' Generally': -3.9611528, ' It': -4.1703258}
{' No': -0.041286316, 'No': -3.5195062, ' Ducks': -5.336326, ' Generally': -5.7423606, ' It': -7.5060906}
{' No': -0.061831553, 'No': -3.7537086, ' Ducks': -4.356103, ' Generally': -4.5721254, ' Yes': -5.081504}
{' No': -0.15070942, 'No': -2.5783653, ' It': -3.5797865, ' Generally': -4.4391446, ' That': -4.702372}
{' No': -0.17855354, 'No': -2.9758863, ' It': -3.206868, ' Generally': -3.6100316, ' Yes': -4.0253096}
{' No': -0.15678596, 'No': -2.182228, ' Ducks': -4.4999027, ' Generally': -4.9398518, ' It': -5.204178}
{' No': -0.19599524, 'No': -2.2966707, ' Generally': -3.6165137, ' Ducks': -4.010647, ' It': -4.904436}
{' No': -0.16672562, 'No': -2.178778, '\n': -3.6689322, ' ': -5.205021, ' It': -5.6958566}
{' No': -0.110363595, 'No': -2.9183543, '\n': -3.4640582, ' It': -5.334149, ' ': -5.492468}
{' No': -0.15011445, 'No': -2.347542, '\n': -4.120114, ' Ducks': -4.4320416, ' ': -5.200377}
{' No': -0.13988146, 'No': -2.856768, ' Ducks': -3.5041487, '\n': -4.4323635, ' Generally': -4.990924}
{' No': -0.07030262, 'No': -2.9959333, ' A': -5.0869823, ' Generally': -5.421842, ' It': -5.730079}
{' No': -0.20885092, ' A': -2.8266637, ' Yes': -3.1368237, 'No': -3.2589626, ' Generally': -3.8180866}
{' No': -0.085307606, 'No': -2.594144, ' Ducks': -5.361366, ' Generally': -6.632112, ' ': -8.4158125}
{' No': -0.113928944, 'No': -2.4906988, ' Ducks': -4.3798413, ' Generally': -5.117057, ' D': -5.8520136}
{' No': -0.27924013, 'No': -1.7217048, '\n': -3.52661, ' It': -4.850969, ' ': -4.914514}
{' No': -0.20130932, 'No': -2.4828663, '\n': -3.3729055, ' Generally': -3.8069398, ' It': -4.396019}
{' No': -0.19609053, 'No': -2.0619657, '\n': -3.9903083, ' Ducks': -4.5326314, ' ': -5.022984}
{' No': -0.21815062, 'No': -2.1399267, '\n': -4.007091, ' Ducks': -4.0079303, ' Generally': -4.5315914}
{' No': -0.19182199, 'No': -2.0655954, ' Generally': -4.1054115, ' A': -5.1843815, '\n': -5.2368827}
{' No': -0.2303382, 'No': -2.465249, ' Generally': -3.2368689, ' Yes': -3.8095307, ' A': -4.0688396}
{' No': -0.18741547, 'No': -1.9801153, ' Ducks': -4.778313, ' Generally': -4.908441, ' ': -5.2052784}
{' No': -0.22762066, 'No': -2.1959662, ' Ducks': -3.7704484, ' Generally': -3.8837252, ' Yes': -3.8924785}
{' No': -0.009343766, 'No': -4.76708, ' ': -8.268827, '\n': -8.590629, ' It': -8.941819}
{' No': -0.015921706, 'No': -4.7465487, ' Yes': -5.717771, ' A': -6.3984494, ' It': -6.615966}
{' No': -0.013038964, 'No': -4.583657, ' Ducks': -6.7305126, '\n': -6.987118, ' ': -8.266729}
{' No': -0.019864487, 'No': -4.1008887, ' Yes': -6.9539175, '\n': -7.302327, ' Ducks': -7.95124}
{' No': -0.14479963, 'No': -2.2195084, '\n': -4.0437727, ' ': -5.3644133, ' It': -6.578588}
{' No': -0.08536226, 'No': -2.836146, '\n': -4.7640214, ' A': -5.168254, ' It': -5.8424654}
{' No': -0.106772296, 'No': -2.613835, '\n': -4.2861643, ' Ducks': -5.010966, ' ': -5.450501}
{' No': -0.13746765, 'No': -2.6111462, ' Ducks': -3.9684572, '\n': -4.338065, ' D': -4.995242}
{' No': -0.27865613, '\n': -1.8897344, 'No': -2.5733416, ' ': -4.450245, ' A': -6.032623}
{' No': -0.22995466, '\n': -2.0703514, 'No': -2.7652636, ' ': -4.828265, ' A': -5.3507876}
{' No': -0.54856783, '\n': -1.0913554, 'No': -2.8394384, ' ': -4.0607285, ' Ducks': -4.9376264}
{' No': -0.43602908, '\n': -1.35177, 'No': -2.8151429, ' Ducks': -4.2871127, ' ': -4.469671}
{' No': -0.023624927, 'No': -3.8423235, ' ': -7.3389516, ' A': -7.8167996, ' It': -7.9522023}
{' No': -0.020019602, 'No': -4.101869, ' It': -6.174106, ' A': -7.690418, ' ': -8.173271}
{' No': -0.034653444, 'No': -3.6288345, ' Ducks': -5.4203973, '\n': -6.681641, ' ': -7.163644}
{' No': -0.045169473, 'No': -3.1865458, ' Ducks': -6.799543, ' D': -7.827646, '\n': -7.9645457}
{' No': -0.32653502, 'No': -1.4744213, '\n': -3.3397965, ' ': -4.6272817, ' A': -6.0661654}
{' No': -0.2437157, 'No': -1.8962597, '\n': -3.0813887, ' A': -4.73593, ' ': -4.742536}
{' No': -0.31204474, 'No': -1.785216, '\n': -2.5767674, ' ': -4.43891, ' Ducks': -4.8284383}
{' No': -0.41090322, 'No': -1.753627, '\n': -2.4289143, ' Ducks': -3.3427684, ' ': -4.206888}
{' No': -0.10782157, 'No': -2.8116655, ' A': -4.024951, '\n': -4.9622884, ' ': -5.030278}
{' No': -0.15219207, ' A': -2.8825862, 'No': -3.2626255, ' Yes': -3.864762, '\n': -4.819711}
{' No': -0.14503933, 'No': -2.3382652, ' Ducks': -4.1888623, '\n': -4.6391664, ' ': -4.8374887}
{' No': -0.14883266, 'No': -2.5659373, ' Ducks': -3.5914936, ' D': -4.35689, '\n': -5.29184}
{' No': -0.13473146, 'No': -2.221022, ' A': -5.0278497, ' It': -6.026287, ' Generally': -6.1236663}
{' No': -0.1595647, 'No': -2.1875074, ' A': -4.152437, ' It': -5.342481, ' Generally': -5.497045}
{' No': -0.20729446, 'No': -1.8926258, ' Ducks': -4.2145452, '\n': -5.056528, ' Generally': -5.716093}
{' No': -0.25839603, 'No': -1.8373965, ' Ducks': -3.9345405, ' Yes': -4.201972, '\n': -4.810791}
{' No': -0.22281395, 'No': -1.6145738, ' ': -8.671245, ' It': -8.710244, 'no': -9.327577}
{' No': -0.25819677, 'No': -1.4857453, ' It': -7.7402005, ' ': -8.690698, '\n': -8.843324}
{' No': -0.28367397, 'No': -1.4278408, ' Ducks': -5.762033, ' Generally': -6.6254725, ' It': -7.230152}
{' No': -0.2795472, 'No': -1.4559712, ' Ducks': -5.7270565, ' Generally': -5.7941914, ' Yes': -6.767227}
{' No': -0.20055287, 'No': -1.7297924, '\n': -6.0723877, ' ': -7.2758684, ' It': -7.877086}
{' No': -0.1619269, 'No': -1.9476495, '\n': -5.4923368, ' It': -7.280429, ' ': -7.359615}
{' No': -0.35579455, 'No': -1.2319084, '\n': -6.1899486, ' Ducks': -6.6091595, ' ': -7.1114197}
{' No': -0.30792093, 'No': -1.4779687, ' Ducks': -4.4771714, ' Yes': -4.6316986, ' It': -5.6887145}
{' No': -0.043069184, 'No': -3.1790383, ' ': -8.3307295, ' A': -9.738191, ' no': -9.957287}
{' No': -0.04122395, 'No': -3.220181, ' ': -8.712687, ' A': -9.417657, ' Generally': -10.075937}
{' No': -0.10297268, 'No': -2.3430278, ' Ducks': -7.560225, ' Generally': -7.598588, ' ': -8.133577}
{' No': -0.12681948, 'No': -2.175619, ' Generally': -6.466979, ' Ducks': -6.6221423, ' Yes': -6.7169814}
{' No': -0.7038609, 'No': -0.7163922, ' Ducks': -5.1585917, '\n': -5.4009166, ' It': -6.408881}
{'No': -0.70530415, ' No': -0.7183657, '\n': -5.1391587, ' Ducks': -5.2590647, ' It': -6.239529}
{' No': -0.6799925, 'No': -0.7549437, ' Ducks': -4.485983, '\n': -5.49878, ' ': -6.3047867}
{'No': -0.7236631, ' No': -0.73687726, ' Ducks': -4.0873675, ' Generally': -5.452863, '\n': -5.798054}
{' No': -0.32580662, 'No': -1.3749228, ' Duck': -4.080092, '\n': -5.7835507, ' ': -6.5678034}
{' No': -0.32003978, 'No': -1.3575555, '\n': -5.2470455, ' Duck': -5.4419823, ' A': -6.2082877}
{' No': -0.46508363, 'No': -1.0019069, ' Ducks': -5.7684374, '\n': -7.7537475, ' ': -7.9877934}
{' No': -0.4833044, 'No': -0.98806334, ' Ducks': -5.2652197, ' Generally': -6.4455333, ' D': -6.88967}
{' No': -0.005300159, 'No': -5.8739333, ' no': -6.966425, ' ': -7.0179653, '\n': -8.176095}
{' No': -0.006608083, 'No': -5.7902555, ' Yes': -7.0962777, ' no': -7.1848116, ' It': -7.334393}
{' No': -0.0059044696, 'No': -5.378265, ' no': -7.8591266, ' Ducks': -8.002952, ' ': -8.254344}
{' No': -0.011765909, 'No': -4.7748427, ' Yes': -6.531913, ' Ducks': -7.5211363, '\n': -7.7513494}
{' No': -0.15021433, 'No': -2.043935, '\n': -5.435275, ' ': -6.286326, ' It': -6.365239}
{' No': -0.09290387, 'No': -2.523215, '\n': -5.9447403, ' It': -6.0572433, ' ': -6.9964914}
{' No': -0.15369949, 'No': -2.0076764, '\n': -5.325296, ' ': -6.6896043, ' Ducks': -7.127943}
{' No': -0.1535183, 'No': -2.0058856, '\n': -5.433887, ' ': -6.85106, ' It': -7.5684714}
{' No': -0.20975547, 'No': -2.0888069, '\n': -2.883158, ' ': -5.213638, ' no': -6.7637677}
{' No': -0.18435912, 'No': -2.4008372, '\n': -2.7428992, ' ': -5.528423, ' A': -5.583309}
{' No': -0.2669714, 'No': -2.119438, '\n': -2.3324506, ' Ducks': -4.9749045, ' ': -5.1923213}
{' No': -0.35203764, 'No': -1.9497529, '\n': -2.077494, ' Ducks': -4.883522, ' ': -5.1619225}
{' No': -0.03746981, 'No': -3.5032024, '\n': -5.813297, ' ': -6.5166526, ' no': -7.287959}
{' No': -0.03615917, 'No': -3.752517, ' It': -5.475061, '\n': -5.961343, ' A': -6.2260942}
{' No': -0.050942987, 'No': -3.1147857, '\n': -5.831674, ' ': -7.277793, ' Ducks': -7.3009014}
{' No': -0.08176233, 'No': -2.6070423, '\n': -6.3613486, ' It': -7.222173, ' Ducks': -7.5698853}
{' No': -0.43322125, 'No': -1.286836, '\n': -2.8031514, ' ': -4.9468207, ' no': -5.749868}
{' No': -0.43336853, 'No': -1.3735217, '\n': -2.4336717, ' ': -5.1344123, ' no': -6.4746017}
{' No': -0.4977875, 'No': -1.4657995, '\n': -1.9681263, ' ': -4.5298953, ' no': -5.9572353}
{' No': -0.47689915, 'No': -1.3322514, '\n': -2.2762098, ' ': -5.0159883, ' D': -6.609132}
{' No': -0.13214044, 'No': -2.8749077, ' no': -3.696611, '\n': -4.1808386, ' It': -4.7527056}
{' No': -0.14273907, 'No': -3.3726926, '\n': -3.7598853, ' A': -3.8664289, ' It': -3.92438}
{' No': -0.20805484, 'No': -2.1064045, '\n': -3.6596675, ' Ducks': -4.4969454, ' no': -4.5173244}
{' No': -0.21682757, 'No': -2.461132, ' Ducks': -3.4509828, '\n': -3.8169298, ' D': -4.056656}
{' No': -0.0122819375, 'No': -4.8866677, '\n': -6.247757, ' ': -6.9907894, ' A': -7.0705566}
{' No': -0.01604871, 'No': -5.2893696, ' A': -5.3393483, ' Yes': -5.8964696, ' It': -6.7583523}
{' No': -0.009765187, 'No': -5.360069, '\n': -5.7533274, ' ': -6.8727508, ' Ducks': -7.5697055}
{' No': -0.026511485, 'No': -4.767844, '\n': -4.9171157, ' Yes': -5.57723, ' Ducks': -5.9020224}
{' No': -0.1854159, '\n': -2.5246794, 'No': -2.6593766, ' ': -4.3469243, ' A': -6.159376}
{' No': -0.21573998, '\n': -2.2007043, 'No': -2.8654246, ' ': -4.430248, ' A': -5.3704925}
{' No': -0.47431582, '\n': -1.2130091, 'No': -2.8887615, ' ': -4.073477, ' Ducks': -5.2468967}
{' No': -0.4489885, '\n': -1.3446642, 'No': -2.657042, ' ': -4.329111, ' Ducks': -4.9077764}
{' No': -0.17506662, '\n': -2.5080745, 'No': -2.8436763, ' ': -4.2748456, ' A': -5.5944853}
{' No': -0.31059945, '\n': -1.6411848, 'No': -2.969518, ' ': -4.272317, ' A': -5.409061}
{' No': -0.22129355, '\n': -2.0179665, 'No': -3.3125298, ' ': -4.3783154, ' Ducks': -4.387208}
{' No': -0.44806752, '\n': -1.4087914, 'No': -3.249089, ' Ducks': -3.2697115, ' ': -3.9065995}
{' No': -0.03976835, 'No': -3.9262009, '\n': -4.7247963, ' ': -5.1690636, ' A': -6.1427855}
{' No': -0.028074002, 'No': -4.2338195, '\n': -5.117355, ' ': -5.57377, ' A': -6.022912}
{' No': -0.06014628, '\n': -3.6086328, 'No': -3.9688985, ' ': -4.784881, ' Ducks': -5.739587}
{' No': -0.050278053, 'No': -3.6582017, '\n': -4.099013, ' ': -5.6815434, ' Ducks': -6.0490756}
{' No': -0.081243284, 'No': -2.9216855, '\n': -4.3546047, ' ': -4.920957, ' A': -5.8398356}
{' No': -0.11229927, 'No': -2.7666476, '\n': -3.6895545, ' ': -4.7898583, ' A': -4.9074554}
{' No': -0.11686133, '\n': -3.0714798, 'No': -3.1036358, ' ': -4.2520275, ' Ducks': -5.932461}
{' No': -0.16552028, '\n': -2.7948802, 'No': -2.9364247, ' ': -4.2564473, ' Ducks': -4.259583}
{' No': -0.09013339, 'No': -3.448238, '\n': -4.0871406, ' ': -4.157305, ' A': -4.6944995}
{' No': -0.18616463, ' A': -2.9509256, '\n': -3.3862033, ' Yes': -3.84168, 'No': -3.8691459}
{' No': -0.09228982, 'No': -3.1752212, '\n': -3.9823823, ' ': -4.246268, ' Ducks': -4.6435246}
{' No': -0.24718423, ' Ducks': -2.6743634, 'No': -3.331588, '\n': -3.3971934, ' Yes': -3.5159066}
{' Yes': -0.006122618, 'Yes': -5.8025913, ' Generally': -6.1963196, ' No': -7.418089, ' A': -8.843575}
{' Yes': -0.020255143, ' No': -4.535861, 'Yes': -5.4095373, ' Generally': -5.8536425, ' A': -6.9309926}
{' Yes': -0.024514997, ' Generally': -4.1889343, 'Yes': -5.3678374, ' M': -5.835321, '\n': -8.037894}
{' Yes': -0.045396853, ' Generally': -4.082521, ' No': -4.4445724, 'Yes': -4.9756165, ' M': -4.977947}
{' Yes': -0.03371558, 'Yes': -3.8806715, ' Generally': -4.787847, ' No': -6.631152, ' ': -7.448452}
{' Yes': -0.035227414, 'Yes': -3.7938063, ' Generally': -5.2409387, ' No': -5.5179467, ' ': -7.668331}
{' Yes': -0.035509557, 'Yes': -3.6889234, ' Generally': -5.209908, ' M': -6.214678, '\n': -7.5365357}
{' Yes': -0.08957548, 'Yes': -3.4314163, ' No': -3.914475, ' Generally': -4.1614995, ' M': -4.527518}
{' Yes': -0.042869575, 'Yes': -3.9844358, '\n': -4.4498444, ' No': -5.0098743, ' ': -5.9405975}
{' Yes': -0.04196785, 'Yes': -3.7838025, ' No': -4.822201, '\n': -5.147774, ' ': -6.4468055}
{' Yes': -0.03813525, 'Yes': -3.698112, '\n': -5.417112, ' Generally': -6.1608367, ' M': -6.211829}
{' Yes': -0.06576948, 'Yes': -3.4794297, ' No': -4.21287, '\n': -5.1463857, ' M': -5.3440304}
{' Yes': -0.00961948, 'Yes': -4.9938364, ' No': -6.437693, ' Generally': -7.7597394, ' A': -8.041827}
{' Yes': -0.031111788, ' No': -4.2139864, 'Yes': -4.462205, ' Generally': -6.3648443, ' A': -6.606532}
{' Yes': -0.026889868, 'Yes': -3.9624193, ' Generally': -5.589531, ' M': -6.3414283, ' No': -6.8064895}
