{' Yes': -0.0025378054, 'Yes': -6.061555, ' yes': -9.673789, '\n': -9.904489, ' Spider': -10.603524}
{' Yes': -0.03069622, ' No': -3.6619277, ' Animal': -5.953349, 'Yes': -6.414145, ' yes': -9.436845}
{' Hel': -0.026578695, ' Yes': -3.9254413, 'Helper': -6.141873, ' Help': -6.1990914, ' Helic': -7.1072016}
{' Hel': -0.14899902, ' Yes': -2.0415218, 'Helper': -5.9296317, ' Help': -6.0179067, ' Helic': -7.216882}
{' Yes': -0.13748167, ' No': -2.0585918, 'Yes': -7.7176566, 'No': -8.959699, ' Nope': -9.005593}
{' Yes': -0.0019718907, ' No': -6.564966, 'Yes': -7.6176486, ' yes': -10.376432, ' YES': -11.335981}
{' Yes': -0.0096188765, ' No': -4.713518, 'Yes': -7.507618, ' yes': -10.877457, 'No': -11.843201}
{' Yes': -0.025359709, ' No': -4.1583514, ' Branch': -5.0866694, 'Yes': -6.079807, ' yes': -8.167936}
{' Yes': -0.009736116, ' No': -4.750478, 'Yes': -6.9725327, ' yes': -10.805507, ' Yep': -10.903742}
{' Yes': -0.056740623, ' No': -2.920035, 'Yes': -7.1196404, ' Nope': -9.1576805, ' Pretty': -9.546665}
{' No': -0.5668174, ' Yes': -0.839202, ' Nope': -8.494159, 'No': -8.700082, 'Yes': -8.742282}
{' No': -0.06223845, ' Yes': -2.8244739, ' Nope': -8.016337, ' Ignore': -8.269324, 'No': -8.332402}
{' Yes': -0.1385038, ' No': -2.0559824, ' Divide': -7.135246, 'Yes': -7.7700953, 'No': -9.848799}
{' Divide': -0.18217388, ' Yes': -1.9368944, ' No': -4.4174643, ' Div': -4.7399206, ' Division': -7.7887087}
{' Yes': -0.0033392836, ' Hammer': -5.9805574, 'Yes': -7.290271, ' No': -10.482321, ' YES': -10.568582}
{' Yes': -0.063574605, ' Hammer': -2.8264587, ' No': -6.833579, 'Yes': -7.0517263, ' Yep': -9.872595}
{' Yes': -0.0034716388, ' No': -6.1257377, 'Yes': -6.8936005, ' Second': -9.670311, ' yes': -9.939268}
{' Yes': -0.008682423, ' No': -5.275614, 'Yes': -6.1837525, ' Second': -7.9145865, ' Des': -7.952553}
{' No': -0.29915795, ' Yes': -1.3592794, 'No': -6.83283, 'Yes': -7.887109, ' Nope': -9.188046}
{' No': -0.25487664, ' Yes': -1.4968467, 'No': -7.1529536, 'Yes': -8.326344, ' Nope': -9.566392}
{' Yes': -0.0041196174, ' Ex': -6.173279, ' No': -6.7582016, 'Yes': -7.2182045, ' yes': -9.662756}
{' No': -0.525013, ' Yes': -0.9131566, ' Nope': -5.5863757, ' Ex': -6.015215, 'No': -7.6270304}
{' Yes': -0.00077451725, ' No': -7.6181197, 'Yes': -8.383336, ' yes': -10.711237, ' Dollar': -10.945735}
{' Yes': -0.004279971, ' No': -5.5099444, 'Yes': -8.593599, ' yes': -10.8752165, ' YES': -11.763162}
{' Yes': -0.019524852, ' Planet': -4.6292334, ' No': -4.777257, 'Yes': -6.96316, ' yes': -9.715505}
{' Yes': -0.061399776, ' Planet': -3.1577017, ' No': -4.1620297, 'Yes': -6.8778267, ' Plane': -9.2791195}
{' Yes': -0.02087118, ' No': -3.968024, 'Yes': -6.5655775, ' Car': -9.002011, ' yes': -9.588337}
{' Yes': -0.009232169, ' No': -4.8964944, 'Yes': -6.6594567, ' Car': -8.351229, ' yes': -9.467769}
{' Yes': -0.0010262746, 'Yes': -7.3163567, ' No': -8.444495, ' Ass': -9.5072155, ' yes': -10.791437}
{' Yes': -0.0797432, ' No': -2.6082256, 'Yes': -6.4607587, ' Ass': -7.088322, ' Nope': -8.60829}
{' No': -0.03015925, ' Yes': -3.682709, ' Circ': -6.3009834, ' Cir': -6.9085846, 'No': -7.2145696}
{' No': -0.64316213, ' Circ': -1.1398834, ' Cir': -2.4785502, ' Circus': -3.272549, ' Yes': -3.5837421}
{' Yes': -0.0074372604, ' No': -5.0509377, 'Yes': -7.0649114, ' yes': -9.72192, ' YES': -10.254715}
{' Yes': -0.12499022, ' No': -2.1670566, 'Yes': -6.4687533, ' Balloon': -8.041018, ' yes': -8.392955}
{' Yes': -0.0055422722, ' No': -5.291387, 'Yes': -7.794124, ' yes': -10.408029, ' YES': -11.017069}
{' Yes': -0.03482969, ' No': -3.5198646, ' Finger': -5.622131, 'Yes': -7.452821, ' Nope': -9.190278}
{' Yes': -0.0040981886, ' No': -5.8222833, 'Yes': -6.945695, ' yes': -9.436189, ' Law': -10.339063}
{' Yes': -0.2659755, ' No': -1.9105011, ' Law': -2.645343, 'Yes': -5.675828, 'Law': -6.3769426}
{' Yes': -0.005675879, ' No': -5.414216, 'Yes': -6.948976, ' Smooth': -9.374372, ' Nope': -10.015587}
{' Yes': -0.15253817, ' No': -1.9947585, ' Smooth': -5.92036, 'Yes': -6.799133, ' Nope': -7.0855594}
{' Yes': -0.017461682, ' No': -4.138344, 'Yes': -6.9448314, ' Cancer': -8.391719, ' yes': -9.270242}
{' No': -0.14218758, ' Yes': -2.0428147, 'No': -6.7772903, ' Cancer': -7.2570996, ' Nope': -7.570353}
{' Yes': -0.082123585, ' Sc': -2.6605003, 'Yes': -5.801043, ' No': -6.435648, ' Scare': -6.546572}
{' Yes': -0.009191865, ' Sc': -5.5674844, ' No': -5.840788, 'Yes': -6.2461877, ' yes': -8.917149}
{' No': -0.3057151, ' Yes': -1.3376193, 'No': -7.569658, 'Yes': -8.40967, ' Nope': -8.7489195}
{' No': -0.44850433, ' Yes': -1.023793, 'No': -7.042802, ' Nope': -7.327208, 'Yes': -7.49301}
{' Yes': -0.4829042, ' No': -0.96106124, 'Yes': -8.178159, 'No': -8.800294, ' Nope': -9.817828}
{' Yes': -0.23752578, ' No': -1.5971849, ' Ex': -4.9530296, 'Yes': -6.9188914, 'No': -8.439321}
{' Yes': -0.1129513, ' No': -2.2425728, 'Yes': -7.784519, ' Nope': -9.292877, 'No': -9.748587}
{' No': -0.35428232, ' Yes': -1.2116374, 'No': -7.8753653, 'Yes': -8.717359, ' Nope': -10.316409}
{' No': -0.041674808, ' Yes': -3.2363787, 'No': -6.787812, ' Nope': -8.103187, 'Yes': -9.87329}
{' Yes': -0.13643642, ' No': -2.1592557, ' Cowboy': -5.0073338, ' Cow': -6.2747207, 'Yes': -6.4010572}
{' Yes': -0.08452642, ' No': -2.5564234, ' Finish': -6.2146316, 'Yes': -6.7745204, 'No': -9.264927}
{' Yes': -0.10743958, ' Finish': -2.8217547, ' No': -3.340952, 'Yes': -5.9537587, ' Fish': -6.0878835}
{' Yes': -0.33459663, ' No': -1.2676677, 'Yes': -6.9323497, ' Puzzle': -7.2665462, 'No': -7.872586}
{' Yes': -0.2946422, ' No': -1.3713253, 'Yes': -7.1972356, 'No': -8.338642, ' Nope': -8.417629}
{' Yes': -0.00038602657, 'Yes': -8.00284, ' No': -10.879419, ' YES': -11.358234, ' yes': -11.411206}
{' Yes': -0.0010659533, ' Repeat': -7.7099276, 'Yes': -7.8147483, ' No': -8.978175, ' yes': -10.337003}
