{' Yes': -0.0031022474, 'Yes': -5.9189844, ' No': -8.122923, ' yes': -9.982982, '\n': -10.223577}
{' Yes': -0.03376478, ' No': -3.437556, 'Yes': -7.003367, ' yes': -10.10291, 'No': -10.150941}
{' Yes': -0.020447064, ' No': -4.0205274, 'Yes': -6.3067474, ' Bass': -9.051049, ' yes': -9.400593}
{' Yes': -0.0026090378, ' Bird': -6.8901796, 'Yes': -7.03341, ' No': -7.646693, ' yes': -9.338937}
{' Yes': -0.07618741, ' Bird': -2.8412304, ' No': -4.5658593, 'Yes': -6.4207344, ' B': -6.814393}
{' Yes': -0.025433011, ' No': -3.8108697, 'Yes': -6.8078203, ' Believe': -7.4900846, ' YES': -7.5271015}
{' Yes': -0.01220621, ' No': -5.464695, ' Believe': -6.080615, 'Yes': -6.5288477, ' YES': -6.801246}
{' Yes': -0.00101106, 'Yes': -7.516504, ' No': -8.782149, ' yes': -9.042835, ' Indeed': -10.046548}
{' Yes': -0.039340045, ' No': -3.5223835, ' Need': -5.562589, ' Nope': -6.58044, 'Yes': -6.89154}
{' Yes': -0.0074553355, ' Tool': -5.537048, ' No': -6.7934566, ' Too': -6.9101076, 'Yes': -7.2520385}
{' Yes': -0.070743114, ' Tool': -3.432912, ' Too': -3.8649187, ' No': -4.499336, 'Yes': -6.811415}
{' Yes': -0.08449211, ' No': -3.2359354, ' Po': -3.3293898, ' Nope': -5.6643124, 'Yes': -6.5598216}
{' Yes': -0.12787968, ' No': -2.268764, ' Po': -4.466331, ' Nope': -5.665288, 'Yes': -6.8989463}
{' Yes': -0.0044747153, ' No': -5.6258717, 'Yes': -7.5537333, ' yes': -9.034145, ' Rock': -9.171717}
{' Yes': -0.056463853, ' Cro': -3.2370458, ' No': -4.863707, ' Rock': -6.021278, 'Yes': -6.2606626}
{' Yes': -0.0020022306, ' No': -6.4799747, 'Yes': -7.705758, ' yes': -11.686516, ' YES': -12.316421}
{' Yes': -0.005798532, ' No': -5.4723434, 'Yes': -6.6194243, ' Last': -9.67133, ' yes': -9.924654}
{' Yes': -0.0055077504, ' Door': -5.677816, 'Yes': -6.8535814, ' No': -7.3369246, ' yes': -8.500118}
{' Yes': -0.11880779, ' Door': -2.4362876, ' No': -3.961913, 'Yes': -5.9810038, ' yes': -6.846576}
{' Yes': -0.13521196, ' No': -2.1249447, ' To': -5.973543, 'Yes': -6.027794, ' Nope': -7.297462}
{' Yes': -0.6262542, ' No': -0.779544, 'Yes': -6.2375574, ' St': -6.486339, ' Nope': -6.508389}
{' Yes': -0.026467726, ' Maze': -3.7433102, 'Yes': -6.214886, ' No': -8.913728, ' yes': -8.956471}
{' Yes': -0.029179875, ' No': -3.639327, 'Yes': -6.3803225, ' Maze': -7.780892, ' Maybe': -9.443555}
{' Yes': -0.025094662, ' No': -3.7883985, 'Yes': -6.528375, ' Monk': -8.347522, ' yes': -8.785527}
{' Yes': -0.08107056, ' No': -2.574553, 'Yes': -6.8428216, ' Nope': -8.808671, ' Mon': -9.070066}
{' Yes': -0.00043366966, 'Yes': -7.87946, ' yes': -10.908779, ' Yep': -11.189873, ' YES': -11.713566}
{' Yes': -0.010077979, ' Camp': -5.337888, ' No': -5.662289, 'Yes': -6.989871, ' Yep': -8.802042}
{' Yes': -0.0010390421, 'Yes': -7.493869, ' Most': -8.071719, ' No': -8.946923, ' yes': -10.93483}
{' Yes': -0.0055296845, ' No': -5.6334043, ' Most': -6.810257, 'Yes': -7.472157, ' Mostly': -9.090382}
{' Yes': -0.014440076, ' Tri': -5.126453, ' Trip': -5.402618, 'Yes': -6.7630987, ' Triple': -6.8864226}
{' Yes': -0.0061227386, ' Tri': -6.1314216, 'Yes': -6.7893414, ' Trip': -7.3205347, ' yes': -7.4731317}
{' Yes': -0.56746984, ' Dusk': -0.8899758, ' No': -4.1306353, ' D': -5.9001546, 'Yes': -6.169696}
{' Yes': -0.5393437, ' No': -0.8788594, 'Yes': -6.9923635, 'No': -7.752225, ' Nope': -8.82269}
{' Yes': -0.0016243077, ' No': -6.7830834, 'Yes': -8.368684, ' Hello': -9.397195, ' Hell': -9.612599}
{' Yes': -0.0005538912, ' No': -8.447718, 'Yes': -8.485484, ' Hell': -10.402471, ' Hello': -10.464231}
{' No': -0.20462349, ' Yes': -1.6943542, 'No': -6.9400396, ' Nope': -8.75076, 'Yes': -8.797957}
{' No': -0.20150448, ' Yes': -1.7307212, ' Nope': -6.1022325, 'No': -6.767998, ' Lawn': -7.027612}
{' Yes': -0.027651235, ' Hill': -4.0347505, ' No': -4.7344155, 'Yes': -8.029751, ' yes': -9.236701}
{' Yes': -0.15000425, ' Hill': -2.1486368, ' No': -3.8691127, 'Yes': -7.6970124, ' Hills': -8.169133}
{' Yes': -0.005881145, ' No': -5.2458463, 'Yes': -7.5270634, ' yes': -11.251341, ' Sure': -11.339167}
{' Yes': -0.00525426, ' No': -5.9066253, 'Yes': -6.713706, ' Take': -7.497834, ' yes': -8.714405}
{' Yes': -0.0020325705, ' No': -6.929541, 'Yes': -7.081721, ' yes': -9.640903, ' YES': -10.200053}
{' Yes': -0.0072601307, 'Yes': -5.982069, ' Part': -6.8787827, ' No': -6.88014, ' Par': -7.520546}
{' Yes': -0.037279177, ' No': -3.3211915, 'Yes': -7.7624207, ' yes': -11.256065, 'No': -11.29784}
{' Yes': -0.054746296, ' No': -3.0164886, ' Pick': -6.3957777, 'Yes': -6.8595114, ' Nope': -7.059367}
{' Yes': -0.0008385858, 'Yes': -7.4883604, ' No': -8.464681, ' yes': -10.353633, ' YES': -10.836024}
{' Yes': -0.019843025, ' No': -3.948783, 'Yes': -8.019443, ' yes': -11.186171, 'No': -11.855988}
{' No': -0.22062907, ' Yes': -1.6260151, ' Nope': -7.2044563, 'No': -8.019651, 'Yes': -9.065372}
{' No': -0.26868132, ' Yes': -1.4690405, ' Nope': -5.9068666, 'No': -6.8849664, ' Def': -7.764077}
{' Yes': -0.09834361, ' No': -2.3870094, 'Yes': -6.668843, ' yes': -8.97613, ' Kiss': -9.036411}
{' No': -0.34916994, ' Yes': -1.2328101, 'No': -6.8946176, ' Kiss': -7.0337453, 'Yes': -7.2736573}
{' Yes': -0.31116834, ' No': -1.3239552, 'Yes': -7.5808287, ' Soda': -7.856162, ' Nope': -8.440787}
{' No': -0.6400276, ' Yes': -0.7514892, 'Yes': -7.7334514, 'No': -8.043379, ' Nope': -8.768903}
{' Yes': -0.35851654, ' No': -1.2014693, ' Nope': -8.347192, 'Yes': -8.524052, 'No': -9.604242}
{' No': -0.09720463, ' Yes': -2.3948004, ' Nope': -6.819986, 'No': -8.265903, 'Yes': -10.149324}
{' Yes': -0.0023351915, 'Yes': -6.9645615, ' Fire': -7.7718782, ' No': -8.105636, ' yes': -8.546364}
{' Yes': -0.004088854, ' No': -5.9977045, 'Yes': -7.1852007, ' Fire': -8.1373825, ' Sure': -8.550943}
{' Yes': -0.0008441924, 'Yes': -7.5220976, ' yes': -8.882951, ' YES': -9.896699, ' No': -9.97494}
{' Yes': -0.0017724378, 'Yes': -7.155261, ' yes': -7.9723387, ' Dread': -8.444344, ' No': -8.820255}
