{' Yes': -0.4832697, ' No': -0.96698284, 'Yes': -6.763613, 'No': -6.8934584, ' Nope': -7.4044847}
{' Yes': -0.0031154007, ' No': -6.1735735, 'Yes': -6.9513, ' yes': -10.602981, 'No': -11.444229}
{' No': -0.001914083, 'No': -6.2903924, ' Nope': -10.032983, ' Yes': -11.895183, ' Not': -12.83065}
{' No': -0.002944051, 'No': -5.8497777, ' Nope': -9.903013, ' ': -12.937276, ' Not': -13.089566}
{' No': -0.69476926, ' Yes': -0.69544834, 'No': -6.6368814, 'Yes': -7.435772, ' yes': -10.732411}
{' Yes': -0.071314305, ' No': -2.6971, 'Yes': -6.859104, 'No': -8.375057, ' Nope': -10.181533}
{' No': -0.0019371354, 'No': -6.269425, ' Yes': -10.419763, ' Nope': -11.985664, ' Not': -12.949838}
{' No': -0.0013570569, 'No': -6.6241217, ' Nope': -11.28169, ' Yes': -11.855383, '\n': -12.56}
{' Yes': -0.0015748754, 'Yes': -6.5146, ' No': -10.045388, ' Sure': -10.7703085, ' yes': -11.73607}
{' Yes': -0.004287451, ' No': -6.3438563, 'Yes': -6.347333, ' Sure': -7.6875734, ' Where': -9.41922}
{' No': -0.0031097208, 'No': -5.7885995, ' Yes': -10.810069, ' Nope': -11.034973, ' Not': -12.624793}
{' No': -0.00247112, 'No': -6.3796277, ' Nope': -7.1831656, ' Not': -12.70186, '\n': -13.006753}
{' Yes': -0.10605788, ' No': -2.3973825, ' Arrow': -5.446443, 'Yes': -5.5229278, 'No': -6.7723804}
{' Yes': -0.20229007, ' Arrow': -2.0984406, ' No': -2.9345021, 'Yes': -5.4893227, 'No': -7.010477}
{' No': -0.0020331684, 'No': -6.2061553, ' Yes': -11.930659, ' Nope': -12.718585, ' Not': -13.2721815}
{' No': -0.0018256424, 'No': -6.327411, ' Nope': -10.927668, ' Yes': -11.499527, '\n': -12.472867}
{' Yes': -0.39402276, ' No': -1.1502025, 'No': -5.602598, ' Nope': -5.818005, 'Yes': -6.4152684}
{' Yes': -0.10313469, ' No': -2.4700859, ' Chain': -5.451611, 'Yes': -5.6938157, ' Nope': -6.260448}
{' No': -0.0024178217, 'No': -6.0528893, ' Nope': -9.982297, ' Yes': -11.765042, ' Not': -12.112405}
{' No': -0.004509264, 'No': -5.485153, ' Nope': -8.361073, ' Yes': -9.432089, ' Not': -10.804562}
{' Yes': -0.069163375, ' No': -2.720599, 'Yes': -7.085837, 'No': -9.16717, ' yes': -10.840159}
{' No': -0.43034276, ' Yes': -1.0558044, 'No': -6.7274976, 'Yes': -7.669451, ' Nope': -9.520759}
{' No': -0.0024996211, 'No': -5.996068, ' Nope': -13.050617, ' Not': -13.4086275, '\n': -13.445833}
{' No': -0.0028602446, 'No': -5.8615828, ' Nope': -12.936242, ' Not': -13.007931, '\n': -13.064592}
{' Yes': -0.0163313, ' Heart': -4.3993382, 'Yes': -5.656336, ' No': -9.387969, ' yes': -10.100602}
{' Yes': -0.123579584, ' Heart': -2.2204175, 'Yes': -5.4443803, ' No': -6.247823, 'Heart': -8.014594}
{' No': -0.0019584529, 'No': -6.250449, ' Yes': -11.397931, ' Not': -11.89523, ' Nope': -12.249771}
{' No': -0.0014650364, 'No': -6.5398, ' Nope': -11.994078, ' Not': -12.274498, ' Yes': -12.459329}
{' Yes': -0.0060847197, ' Sure': -5.9493384, 'Yes': -6.200752, ' Horse': -6.6122108, ' No': -10.981702}
{' Yes': -0.0020258809, 'Yes': -6.281017, ' Sure': -9.640619, ' No': -9.696613, ' YES': -11.909292}
{' No': -0.002675495, 'No': -5.94901, ' Yes': -10.43854, ' Nope': -10.677375, ' Not': -12.100536}
{' No': -0.004765919, 'No': -5.379449, ' Yes': -9.01132, ' Nope': -11.372772, ' ': -12.570149}
{' No': -0.44272617, ' Yes': -1.0347023, 'No': -6.63418, 'Yes': -7.409973, ' Nope': -8.2517605}
{' Yes': -0.30609265, ' No': -1.3428777, 'Yes': -6.5818973, 'No': -7.2326136, ' Nope': -8.346259}
{' No': -0.001664189, 'No': -6.4123254, ' Nope': -11.599848, ' Not': -12.179443, ' Yes': -12.805697}
{' No': -0.0022743726, 'No': -6.1084003, ' Nope': -10.835912, ' Not': -11.447943, ' Yes': -11.6580715}
{' Yes': -0.22869632, ' No': -1.6074632, 'Yes': -6.4418974, ' Pizza': -7.001434, ' Nope': -7.2897525}
{' No': -0.07308271, ' Yes': -2.7045484, 'No': -5.9522743, ' Nope': -7.221735, 'Yes': -8.7635975}
{' No': -0.0018930028, 'No': -6.3188195, ' Nope': -9.688719, ' Yes': -11.4025135, ' Not': -11.456729}
{' No': -0.0017628261, 'No': -6.3737373, ' Nope': -10.467237, ' Yes': -11.336313, ' Not': -11.549917}
{' Yes': -0.04486358, ' No': -3.6392963, ' Snake': -4.650813, 'Yes': -5.0356965, ' Sn': -7.1180387}
{' Yes': -0.016490169, ' No': -4.8484316, 'Yes': -5.33359, ' Snake': -5.8459234, ' Sn': -7.768956}
{' No': -0.0033934668, 'No': -5.7042065, ' Nope': -10.9897785, ' Yes': -11.094266, '\n': -11.157277}
{' No': -0.0020958236, 'No': -6.1978083, ' Nope': -10.588424, ' Yes': -11.195127, '\n': -11.315402}
{' No': -0.2079144, ' Yes': -1.81913, ' Nope': -3.9048061, 'No': -5.892217, ' Laugh': -6.8635383}
{' No': -0.1005782, ' Yes': -2.598436, ' Nope': -4.3894806, 'No': -5.2091556, ' Laugh': -6.1748004}
{' No': -0.010857384, ' Yes': -4.8859086, ' Nope': -6.102707, 'No': -6.9566116, ' Not': -11.039428}
{' No': -0.04593815, ' Yes': -3.4085612, ' Nope': -4.6391273, 'No': -6.308029, ' Maybe': -9.871981}
{' No': -0.04905455, ' Yes': -3.1912987, 'No': -5.0966907, ' Nope': -7.9302607, 'Yes': -8.686396}
{' No': -0.09075539, ' Yes': -2.5169961, 'No': -5.2930374, ' Nope': -7.502502, 'Yes': -8.104081}
{' No': -0.0019470493, 'No': -6.2520933, ' Yes': -11.873255, '\n': -12.178895, ' ': -13.058261}
{' No': -0.0017668859, 'No': -6.365233, ' Yes': -10.6655445, ' Nope': -11.445264, ' Not': -12.3814125}
{' No': -0.020709243, ' Yes': -3.9839447, 'No': -6.4798174, ' Nope': -8.195331, 'Yes': -10.396881}
{' Yes': -0.019087877, ' No': -4.095252, 'Yes': -6.292926, ' Sure': -8.639642, 'No': -9.824277}
{' No': -0.0015638313, 'No': -6.4681444, '\n': -12.712339, ' ': -12.874232, ' Not': -13.156064}
{' No': -0.0014857479, 'No': -6.526572, '\n': -11.872392, ' Nope': -12.42254, ' Yes': -12.598554}
{' Yes': -0.56624645, ' No': -0.8896928, ' Plane': -4.6423383, 'Yes': -5.4392796, 'No': -5.701224}
{' Yes': -0.07220853, ' No': -3.0192773, ' Plane': -4.2226524, 'Yes': -5.4535236, ' Nope': -6.9722524}
{' No': -0.0019613798, 'No': -6.247012, '\n': -11.824909, ' Nope': -12.116543, ' Yes': -12.486082}
{' No': -0.0009323654, 'No': -7.020536, ' Nope': -10.879285, ' Yes': -11.45946, ' Not': -12.264376}
{' Yes': -0.01829797, ' Found': -4.6391397, ' No': -5.2371755, 'Yes': -6.2534113, ' F': -8.706454}
{' Yes': -0.02481386, ' Found': -4.330741, ' No': -4.9007215, 'Yes': -6.2385654, ' F': -7.801308}
{' No': -0.0017127284, 'No': -6.414615, ' Nope': -9.949474, '\n': -11.661044, ' Yes': -11.73496}
{' No': -0.0013755014, 'No': -6.6236205, ' Nope': -10.8556595, ' Yes': -11.440736, ' Not': -11.636838}
{' No': -0.017859166, ' Yes': -4.151449, 'No': -6.6220536, ' Nope': -7.768957, ' Uncle': -9.6362915}
{' No': -0.081337355, ' Yes': -2.6463397, ' Nope': -5.7475724, 'No': -6.033907, ' Un': -7.411274}
{' No': -0.0012931358, 'No': -6.7271786, ' Yes': -9.94071, ' Nope': -10.349487, '\n': -12.020995}
{' No': -0.0026076045, 'No': -6.4400077, ' Yes': -7.0952682, ' Nope': -8.8951435, ' Not': -11.035534}
{' Yes': -0.011043349, ' No': -4.787021, 'Yes': -6.2645984, ' Stamp': -8.038155, ' Maybe': -9.311892}
{' Yes': -0.16007815, ' No': -1.9399738, 'Yes': -5.9336276, 'No': -7.264126, ' Nope': -7.7445946}
{' No': -0.0025048805, 'No': -6.064766, ' Not': -9.463745, ' Yes': -9.755945, '\n': -10.537024}
{' No': -0.0016529646, 'No': -6.4163675, '\n': -12.005288, ' Nope': -12.24561, ' ': -12.899332}
{' Yes': -0.004141764, ' Sleep': -6.250729, 'Yes': -6.589068, ' No': -7.7984533, ' yes': -8.896991}
{' Yes': -0.0038612136, 'Yes': -6.3033147, ' No': -6.372935, ' yes': -9.07403, ' Sleep': -9.4611225}
{' No': -0.001103245, 'No': -6.821265, ' Nope': -12.202639, '\n': -12.940421, ' ': -13.1502695}
{' No': -0.0020911049, 'No': -6.1805215, '\n': -11.895373, ' Nope': -12.343115, ' ': -12.575304}
{' No': -0.12331936, ' Yes': -2.1780162, 'No': -6.124189, 'Yes': -8.021844, ' Nope': -8.5559435}
{' No': -0.35822898, ' Yes': -1.2316955, ' Nope': -5.741108, 'No': -5.995352, ' Close': -6.15387}
{' No': -0.0018356729, 'No': -6.3116403, ' Yes': -11.916599, ' Not': -12.604908, '\n': -12.670421}
{' No': -0.0017803197, 'No': -6.3645425, ' Nope': -10.870051, ' Yes': -11.047521, ' Not': -11.229328}
{' Yes': -0.030426012, ' No': -3.602903, 'Yes': -6.1983886, ' Nope': -8.335875, 'No': -9.539953}
{' Yes': -0.014240419, ' No': -4.505184, 'Yes': -6.179113, ' Nope': -8.444564, ' Te': -9.308286}
{' No': -0.0018497066, 'No': -6.3391314, ' Yes': -9.64985, ' Not': -11.715753, ' Nope': -12.541717}
{' No': -0.0012545827, 'No': -6.811612, ' Yes': -9.152087, ' Nope': -10.411777, ' Not': -11.9895525}
{' Yes': -0.0013759792, ' No': -7.2624536, 'Yes': -7.4475846, ' Sure': -9.59526, '\n': -12.100522}
{' Yes': -0.0017223429, ' No': -7.043224, 'Yes': -7.2362323, ' Sure': -9.263036, '\n': -11.519014}
{' No': -0.0019005851, 'No': -6.7028127, ' Yes': -7.36044, ' Nope': -10.664446, ' Not': -12.21212}
{' No': -0.0048846886, ' Yes': -5.7527633, 'No': -6.4264636, ' Nope': -9.946991, ' Not': -11.287656}
{' Yes': -0.009907183, ' No': -5.3278675, 'Yes': -5.6396217, ' Drunk': -6.8209553, ' yes': -9.172105}
{' Yes': -0.013012393, ' No': -4.7712307, 'Yes': -5.701048, ' Drunk': -7.672434, ' Nope': -8.722679}
{' No': -0.0016176216, 'No': -6.575985, ' Yes': -8.924707, ' Nope': -9.664101, ' Not': -10.933212}
{' No': -0.0019953025, 'No': -6.3967037, ' Yes': -8.195478, ' Nope': -10.659298, ' Not': -10.803198}
{' No': -0.057457384, ' Yes': -2.9621756, 'No': -5.809565, ' Nope': -7.7019715, ' Min': -8.1381645}
{' No': -0.23813699, ' Yes': -1.6156203, ' Min': -5.2215695, 'No': -5.656941, 'Yes': -6.6009026}
{' No': -0.0021878139, 'No': -6.1365986, ' Nope': -11.561643, '\n': -11.882729, ' ': -12.719941}
{' No': -0.0016167861, 'No': -6.4541183, ' Nope': -10.840153, ' Not': -11.853364, '\n': -12.041016}
{' Yes': -0.0011376174, 'Yes': -6.8361597, ' yes': -10.195434, ' YES': -11.823378, ' No': -11.82345}
{' Yes': -0.0005541305, 'Yes': -7.5826235, ' yes': -10.771167, ' No': -11.399191, ' YES': -12.353014}
{' No': -0.0025752727, 'No': -5.976316, ' Nope': -11.401864, ' Not': -11.632506, '\n': -12.016312}
{' No': -0.0017680808, 'No': -6.3832965, ' Nope': -10.471743, ' Yes': -10.877777, ' Not': -11.084275}
{' No': -0.26071674, ' Yes': -1.5173029, ' Nope': -5.3329115, 'No': -5.7629957, 'Yes': -7.329795}
{' No': -0.058365658, ' Yes': -2.9383514, 'No': -6.107514, ' Nope': -6.6505895, 'Yes': -9.123599}
{' No': -0.0026808735, 'No': -5.9938455, ' Yes': -8.974472, '\n': -10.721717, ' Nope': -11.068478}
{' No': -0.002289607, 'No': -6.0908036, '\n': -11.843448, ' Not': -11.989912, ' Yes': -12.054498}
{' Yes': -0.025309274, ' No': -3.7515168, 'Yes': -6.6603436, ' Woman': -9.434119, 'No': -9.713618}
{' Yes': -0.16720945, ' Woman': -1.9267766, ' No': -5.8408184, 'Yes': -6.188508, 'Woman': -6.504499}
{' No': -0.0016235905, 'No': -6.4438787, ' Nope': -11.441647, ' Yes': -11.739191, '\n': -11.8821535}
{' No': -0.0019592883, 'No': -6.2517266, ' Yes': -11.400127, ' Nope': -11.522772, ' Not': -12.613449}
{' Yes': -0.0044209515, 'Yes': -6.1812983, ' No': -6.561959, ' Party': -7.354055, ' yes': -9.971188}
{' Yes': -0.5254931, ' No': -0.91980684, ' Party': -5.0152273, 'Yes': -6.8238688, 'No': -7.0758123}
{' No': -0.0017641392, 'No': -6.3972483, ' Yes': -9.688428, ' Not': -11.23946, ' Nope': -11.376502}
{' No': -0.0013139663, 'No': -6.7136226, ' Yes': -9.615594, ' Not': -10.86171, ' Nope': -11.926861}
{' No': -0.51069415, ' Yes': -0.9215162, 'No': -6.631492, 'Yes': -7.430518, ' Nope': -10.156119}
{' No': -0.12608823, ' Yes': -2.1591902, 'No': -5.98877, 'Yes': -8.407723, ' Nope': -8.552524}
{' No': -0.0019679493, 'No': -6.240766, '\n': -12.054864, ' Yes': -12.357732, ' Not': -12.835904}
{' No': -0.0019551057, 'No': -6.250446, ' Not': -11.528693, ' Yes': -12.158981, '\n': -12.438001}
{' Yes': -0.0018858361, 'Yes': -6.34665, ' No': -10.016133, ' Sure': -10.535064, ' Shoes': -10.801}
{' Yes': -0.003962399, 'Yes': -5.8540583, ' Shoes': -6.987733, ' No': -9.938626, ' YES': -10.470116}
{' No': -0.002482533, 'No': -6.0797334, ' Yes': -8.99341, ' Nope': -10.013501, '\n': -11.551239}
{' No': -0.0020526398, 'No': -6.4849973, ' Yes': -7.792765, ' Nope': -9.442194, '\n': -11.178692}
{' Yes': -0.004499085, ' No': -5.956144, 'Yes': -6.3525305, ' Ghost': -9.603581, ' yes': -11.319947}
{' No': -0.37156048, ' Yes': -1.1803355, 'No': -6.626275, ' Nope': -6.7156806, 'Yes': -7.922665}
{' No': -0.0026160297, 'No': -5.958462, '\n': -11.710682, ' Nope': -11.921312, ' ': -12.034018}
{' No': -0.0016540393, 'No': -6.418511, ' Nope': -11.950817, ' ': -12.294562, '\n': -12.380433}
{' Yes': -0.0035799653, ' Shirt': -6.102847, 'Yes': -6.778608, ' Sure': -9.642657, ' No': -9.717818}
{' Yes': -0.014098107, ' Shirt': -4.595277, 'Yes': -6.2553086, ' No': -6.459458, ' Sure': -9.066807}
{' No': -0.0026935416, 'No': -6.0313315, ' Yes': -8.892399, ' Nope': -9.109129, ' Not': -10.640305}
{' No': -0.0018675635, 'No': -6.365965, ' Nope': -9.410732, ' Yes': -9.853239, ' Not': -12.118603}
{' Yes': -0.18988815, ' No': -1.82934, ' Pants': -5.0125713, 'Yes': -5.335905, 'No': -7.655536}
{' Yes': -0.4553223, ' No': -1.0257455, 'Yes': -5.6448646, ' Pants': -6.2299705, 'No': -7.0260787}
{' No': -0.0016449064, 'No': -6.450085, ' Yes': -10.218233, ' Nope': -11.606898, '\n': -11.704298}
{' No': -0.0016019199, 'No': -6.46998, ' Yes': -11.167743, ' Nope': -11.231572, '\n': -11.464508}
{' Yes': -0.41802022, ' No': -1.0919322, 'No': -6.089994, 'Yes': -6.091733, ' Board': -7.0079656}
{' Yes': -0.022919133, ' No': -3.9921098, 'Yes': -5.6769543, ' Board': -8.22703, 'No': -8.714769}
{' No': -0.002503207, 'No': -6.009327, ' Yes': -11.31524, '\n': -11.361519, ' Not': -11.5282135}
{' No': -0.0021386493, 'No': -6.1693025, ' Yes': -10.893545, ' Not': -11.715687, '\n': -11.899555}
{' Yes': -0.008329737, ' No': -5.321877, 'Yes': -5.9923534, ' Leave': -7.429106, ' yes': -9.660401}
{' Yes': -0.051179595, ' No': -3.0533826, 'Yes': -6.1739626, ' Nope': -8.828398, ' Leave': -9.146948}
{' No': -0.0023850196, 'No': -6.13634, ' Yes': -8.747697, ' Not': -10.2768755, ' Nope': -11.233322}
{' No': -0.0019498558, 'No': -6.270027, ' Yes': -10.334398, '\n': -11.722808, ' Nope': -12.027027}
{' Yes': -0.042272914, ' No': -3.2952824, ' Nope': -6.2236214, 'Yes': -6.387932, 'No': -9.216718}
{' Yes': -0.009757603, ' No': -5.0653567, 'Yes': -5.9614882, ' There': -7.960796, ' Nope': -9.1186}
{' No': -0.0063034506, ' Yes': -5.739408, 'No': -6.163087, ' Nope': -7.2423873, ' Maybe': -9.122832}
{' No': -0.004955249, 'No': -6.1383376, ' Yes': -7.068069, ' Nope': -7.1089416, ' Possibly': -7.6948905}
{' No': -0.087163165, ' Yes': -2.5622072, 'No': -5.3183603, ' Sn': -7.702361, 'Yes': -7.843936}
{' No': -0.08121271, ' Yes': -2.8097243, ' Sn': -4.7579455, 'No': -5.0760465, ' Nope': -7.262038}
{' No': -0.002003545, 'No': -6.2267876, '\n': -11.642927, ' Not': -12.005398, ' Nope': -12.136262}
{' No': -0.0019183229, 'No': -6.271032, ' Nope': -11.477052, '\n': -11.63993, ' Not': -12.725204}
{' Yes': -0.099495925, ' No': -2.4162416, ' Bride': -6.2981987, 'Yes': -6.4457693, ' Bridge': -6.6424036}
{' Yes': -0.02270296, ' No': -4.5030956, ' Bridge': -5.27535, ' Bride': -5.937181, 'Yes': -6.0236654}
{' No': -0.001473273, 'No': -6.538153, '\n': -11.601933, ' Yes': -12.235905, ' ': -12.311882}
{' No': -0.0015707565, 'No': -6.481181, ' Nope': -11.291524, '\n': -11.435304, ' Yes': -11.812142}
{' Yes': -0.32531095, ' Throw': -1.4962666, ' No': -2.9886127, 'Yes': -6.960385, ' Th': -7.479793}
{' Yes': -0.13952135, ' No': -2.320441, ' Throw': -3.5354373, 'Yes': -6.56214, 'No': -8.0305395}
{' No': -0.0013694725, 'No': -6.6208677, ' Nope': -10.97178, ' Yes': -11.976308, '\n': -12.054025}
{' No': -0.0022533438, 'No': -6.114851, ' Nope': -10.716709, ' Yes': -12.062053, ' Not': -12.140223}
{' Yes': -0.0031145625, ' No': -6.442388, 'Yes': -6.5855308, ' Yep': -10.196497, ' Women': -10.80974}
{' Yes': -0.0018713255, 'Yes': -6.6693683, ' No': -7.946853, ' Yep': -9.706329, ' YES': -10.394282}
{' No': -0.0018506622, 'No': -6.3318996, ' Yes': -10.042089, ' Nope': -11.145997, '\n': -11.972539}
{' No': -0.002004977, 'No': -6.3620343, ' Yes': -8.627747, ' Nope': -9.669554, ' Not': -11.160426}
{' No': -0.35829172, ' Yes': -1.254694, 'No': -5.563604, ' Nope': -5.9591403, 'Yes': -6.0241904}
{' No': -0.23904404, ' Yes': -1.6061074, ' Nope': -5.6369576, 'No': -5.8566136, ' N': -6.79667}
{' No': -0.0048067644, ' Yes': -5.914703, 'No': -6.6076603, ' Nope': -7.744526, ' Not': -8.298973}
{' No': -0.0029393889, ' Yes': -6.693319, 'No': -6.696546, ' Nope': -8.067855, ' Not': -9.208017}
{' No': -0.48732087, ' Yes': -1.0112313, ' Los': -4.5589914, ' Nope': -5.4661255, ' Lo': -6.230665}
{' Yes': -0.29605675, ' No': -1.3987654, ' Lo': -6.0843883, ' Nope': -6.270763, 'Yes': -6.4426928}
{' No': -0.0027096197, 'No': -5.930877, ' Nope': -10.720017, ' Not': -11.466941, '\n': -11.544973}
{' No': -0.0014042128, 'No': -6.5876713, ' Nope': -11.780809, '\n': -11.994213, ' Not': -12.284427}
{' Yes': -0.5873556, ' No': -0.81700414, 'No': -6.7076077, 'Yes': -7.1129885, ' Nope': -8.395609}
{' No': -0.11939819, ' Yes': -2.2113953, 'No': -6.131442, ' Nope': -7.6009026, 'Yes': -8.495152}
{' No': -0.003171008, 'No': -5.7617636, ' Not': -12.067176, ' Yes': -12.185936, '\n': -12.285328}
{' No': -0.0026558915, 'No': -5.950451, ' Yes': -10.797159, ' Not': -11.256716, '\n': -12.010381}
{' Yes': -0.0023845409, 'Yes': -6.366171, ' Shark': -7.6360154, ' Sure': -9.491947, ' No': -9.9385395}
{' Yes': -0.0041209925, 'Yes': -6.180833, ' Shark': -6.506825, ' No': -7.9398904, ' Sure': -9.176459}
{' No': -0.023140352, ' Yes': -3.9660914, 'No': -6.293972, ' Nope': -6.360512, ' Not': -8.330992}
{' No': -0.019728601, ' Yes': -4.171492, 'No': -5.909722, ' Nope': -6.899071, ' Not': -8.289726}
{' Yes': -0.040003296, ' No': -3.3053823, 'Yes': -6.3241653, ' Lemon': -7.971209, 'No': -8.56014}
{' Yes': -0.008116334, ' No': -5.5426583, 'Yes': -5.8819027, ' Lemon': -6.7134843, 'No': -10.113692}
{' No': -0.0016066956, 'No': -6.4477525, ' Nope': -11.726372, '\n': -12.415165, ' Not': -12.455564}
{' No': -0.0019509316, 'No': -6.2746654, ' Nope': -10.596829, ' Not': -10.904944, '\n': -11.60748}
{' No': -0.029880771, ' Yes': -3.7023506, 'No': -5.7193394, ' Nope': -6.782554, ' Not': -8.585682}
{' No': -0.034952085, ' Yes': -3.6868093, ' Nope': -5.165796, 'No': -5.8554873, ' Maybe': -8.100913}
{' No': -0.002100006, 'No': -6.35073, ' Yes': -8.163875, ' Nope': -10.176547, ' Not': -11.060245}
{' No': -0.002434493, 'No': -6.432959, ' Nope': -7.4165406, ' Yes': -8.703535, ' Maybe': -10.779953}
{' Yes': -0.010276328, ' No': -4.842649, 'Yes': -6.457551, ' Below': -7.66549, ' YES': -9.704193}
{' Yes': -0.013321434, ' No': -4.5883274, 'Yes': -6.226074, ' Below': -7.561555, ' yes': -9.304628}
{' No': -0.0017520175, 'No': -6.3630056, '\n': -11.814216, ' Yes': -12.005782, ' Not': -12.049442}
{' No': -0.0016541576, 'No': -6.4140687, ' Not': -12.066316, ' Nope': -12.8727255, ' ': -13.081221}
{' Yes': -0.0056879874, ' Sm': -5.9497523, ' Spell': -6.9512744, ' No': -7.0629935, 'Yes': -7.1004024}
{' Yes': -0.013475415, ' No': -4.486927, 'Yes': -6.7304473, ' Spell': -7.736266, ' Sm': -9.425064}
{' No': -0.0011537294, 'No': -6.7964683, ' Yes': -11.121331, ' Nope': -11.748276, ' Not': -11.953345}
{' No': -0.0016188136, 'No': -6.440805, '\n': -11.5675745, ' Not': -12.501254, ' Nope': -12.709954}
{' Yes': -0.6860172, ' Your': -1.2045585, ' No': -1.7772512, ' Y': -5.039378, 'Yes': -5.568019}
{' Yes': -0.80077213, ' No': -1.1842369, ' Your': -1.5576308, ' Y': -4.856063, 'Yes': -5.4682283}
{' No': -0.0018200894, 'No': -6.3594723, ' Nope': -10.088619, ' Yes': -10.4663315, '\n': -11.63102}
{' No': -0.0025455137, 'No': -5.984925, ' Yes': -11.532108, '\n': -12.170363, ' Nope': -12.19201}
{' No': -0.43096188, ' Yes': -1.0710299, 'No': -5.3285394, 'Yes': -6.509475, ' Nope': -7.1883698}
{' No': -0.016649425, ' Yes': -4.1941395, 'No': -6.9920173, ' Wrong': -8.036815, ' Nope': -8.865054}
{' No': -0.0071598715, 'No': -5.6157675, ' Yes': -5.7267947, ' Nope': -9.008399, ' Maybe': -10.090235}
{' No': -0.0017355977, 'No': -6.43797, ' Yes': -9.3092785, ' Nope': -10.904219, ' Not': -11.021633}
{' Yes': -0.16825926, ' No': -2.1945615, ' Devil': -3.3005664, 'Yes': -5.8475285, ' Dev': -7.2210674}
{' No': -0.544068, ' Yes': -0.9868304, ' Devil': -3.3129277, 'No': -6.0244765, 'Yes': -6.4328613}
{' No': -0.0019271622, 'No': -6.291058, ' Yes': -10.625782, ' Nope': -10.930531, ' Not': -11.245471}
{' No': -0.0023685894, 'No': -6.391586, ' Yes': -7.5283885, ' Nope': -9.597487, ' Not': -9.659542}
{' Yes': -0.0008632808, 'Yes': -7.5395117, ' No': -8.127818, ' Sure': -11.125896, ' yes': -11.271537}
{' Yes': -0.004876483, ' No': -5.465114, 'Yes': -7.5553155, ' Sure': -9.849835, ' yes': -10.661762}
{' No': -0.0018080277, 'No': -6.326952, '\n': -12.276777, ' Not': -12.353384, ' Nope': -12.604958}
{' No': -0.0015545781, 'No': -6.5473704, ' Yes': -9.397327, ' Not': -11.010035, ' Nope': -11.542358}
{' No': -0.118438475, ' Yes': -2.2372625, 'No': -5.415811, 'Yes': -8.228322, ' Major': -8.8784075}
{' No': -0.01443536, ' Yes': -4.561436, 'No': -5.6521072, ' Major': -8.412548, ' Nope': -9.485194}
{' No': -0.002111055, 'No': -6.1716413, ' Yes': -11.937733, ' Not': -12.1545725, '\n': -12.248413}
{' No': -0.0020016327, 'No': -6.2309017, ' Yes': -11.345123, '\n': -11.950911, ' Not': -12.082107}
{' Yes': -0.24152173, ' No': -1.5552577, 'Yes': -6.733579, ' Worst': -7.0134068, ' Nope': -7.4292808}
{' Yes': -0.028412567, ' No': -4.038321, ' Worst': -4.972607, 'Yes': -6.0715995, ' W': -8.670596}
{' No': -0.0019529618, 'No': -6.2539325, ' Nope': -11.262589, '\n': -12.085857, ' Yes': -12.376738}
{' No': -0.0017399577, 'No': -6.405667, ' Yes': -10.336111, ' Nope': -10.4502945, ' Not': -11.43583}
{' No': -0.4586611, ' Yes': -1.0096828, 'No': -6.5885015, ' Nope': -7.065329, ' Pound': -7.2723737}
{' Yes': -0.25495413, ' No': -1.5061425, 'Yes': -6.711354, ' Nope': -7.054358, 'No': -7.178622}
{' No': -0.0017899344, 'No': -6.3501377, ' Yes': -11.10373, ' Nope': -11.393537, '\n': -11.877713}
{' No': -0.0015585768, 'No': -6.571842, ' Yes': -9.245905, ' Not': -10.479736, ' Nope': -10.719545}
{' Yes': -0.08397933, ' No': -2.5809543, 'Yes': -5.7758126, ' Dirty': -7.352484, 'No': -7.5382366}
