{' Yes': -0.0030951896, 'Yes': -5.8984904, ' No': -8.919969, ' yes': -9.2945795, ' A': -9.588872}
{' No': -0.3674054, 'No': -1.3197999, ' Yes': -3.5876565, 'Yes': -5.207569, ' A': -6.160633}
{' Yes': -0.47906724, ' No': -1.6164192, 'Yes': -2.2751145, 'No': -2.766169, ' ': -5.2245293}
{' Yes': -1.0980608, ' No': -1.272526, 'No': -1.7695754, 'Yes': -2.4053156, ' Tigers': -2.4587212}
{' No': -0.619872, 'No': -1.3272961, ' Yes': -2.0814178, 'Yes': -3.4773185, ' Tigers': -3.5432158}
{' Yes': -0.14882049, 'Yes': -2.8284738, ' No': -3.5102403, ' Tiger': -3.7530532, ' yes': -5.1673255}
{' Yes': -0.4762325, ' No': -1.4585608, 'Yes': -2.8667696, 'No': -3.036474, ' A': -4.492307}
{' Yes': -0.17096531, 'Yes': -2.469551, ' Tigers': -3.4676456, ' No': -3.6544094, 'No': -4.7462196}
{' No': -0.2854809, 'No': -1.4614147, ' Yes': -4.563046, ' Tigers': -6.330292, 'Yes': -6.3448052}
{' Yes': -0.00434181, ' yes': -6.1488175, 'Yes': -6.326464, ' ': -8.373062, ' No': -9.6205435}
{' Yes': -0.003332285, 'Yes': -6.2565994, ' yes': -6.759291, ' ': -8.917881, ' A': -10.178188}
{' Yes': -0.005664129, ' No': -5.8747373, 'Yes': -6.2699842, ' yes': -7.4429593, ' ': -8.315152}
{' Yes': -0.003897775, 'Yes': -5.906628, ' No': -7.747382, ' yes': -7.8220925, ' ': -8.455369}
{' Yes': -0.05224824, 'Yes': -3.2508583, ' yes': -5.294838, '\n': -5.4461517, ' ': -6.30076}
{' Yes': -0.06501531, 'Yes': -2.8777728, '\n': -5.9672403, ' yes': -6.036727, ' ': -6.7104077}
{' Yes': -0.08543452, 'Yes': -3.1105695, '\n': -4.3101087, ' No': -4.4475484, ' ': -5.4751134}
{' Yes': -0.09002207, 'Yes': -3.0437288, ' No': -3.6652477, '\n': -5.1175547, 'No': -6.035216}
{' Yes': -0.15441935, '\n': -2.7262006, 'Yes': -2.8983555, ' ': -4.560087, ' No': -5.5444393}
{' Yes': -0.1687465, 'Yes': -2.5862594, '\n': -2.6690118, ' ': -5.1041427, ' yes': -5.990106}
{'\n': -1.066022, ' Yes': -1.2584791, ' No': -1.8445045, ' Tigers': -2.061992, ' ': -3.5547247}
{' Yes': -0.5706021, '\n': -1.3115499, ' No': -2.5654178, 'Yes': -3.3213441, ' Tigers': -3.9688926}
{' Yes': -0.013541874, 'Yes': -4.7985835, ' No': -5.8671045, ' yes': -7.0823355, ' ': -7.266503}
{' Yes': -0.008422781, 'Yes': -4.9077163, ' yes': -7.678138, ' ': -8.506766, '\n': -8.661532}
{' Yes': -0.6680714, ' No': -0.8055206, 'No': -4.3225913, ' Tigers': -4.4366093, 'Yes': -4.7928596}
{' Yes': -0.12524387, ' No': -2.2863615, 'Yes': -4.4742255, 'No': -6.0699244, ' Tigers': -7.2499456}
{' Yes': -0.5372504, ' No': -1.9927386, '\n': -2.1459482, 'Yes': -2.3184583, 'No': -3.4888942}
{' Yes': -0.2860885, 'Yes': -1.74336, '\n': -2.9676871, ' ': -4.8344054, ' No': -4.902819}
{' No': -0.50803095, '\n': -1.7344065, 'No': -2.1548588, ' Yes': -2.7686243, ' ': -3.9140308}
{' Yes': -0.35571954, 'Yes': -2.0407035, '\n': -2.421437, ' No': -3.0143783, ' ': -4.359835}
{' Yes': -0.040276423, 'Yes': -3.9692829, ' yes': -4.055495, '\n': -6.686481, ' ': -7.043517}
{' Yes': -0.033506554, 'Yes': -4.0477962, ' yes': -4.395275, '\n': -6.3890395, ' ': -7.144872}
{' Yes': -0.07180903, 'Yes': -3.3244178, ' yes': -4.008067, '\n': -4.821843, ' ': -5.7328715}
{' Yes': -0.052002024, 'Yes': -3.3961294, ' yes': -4.576744, '\n': -5.5560226, ' ': -6.5897727}
{' Yes': -0.009152404, 'Yes': -5.7288156, ' No': -6.083134, '\n': -6.201481, ' ': -7.0739636}
{' Yes': -0.0052832, 'Yes': -5.6773257, '\n': -6.9791102, ' ': -8.095065, ' yes': -8.10997}
{' Yes': -0.10404623, ' No': -2.7404006, '\n': -3.9083006, ' ': -5.2844872, ' Tigers': -5.3745594}
{' Yes': -0.09644102, ' No': -2.6637533, '\n': -4.341623, 'Yes': -5.526333, ' ': -5.8772936}
{' Yes': -0.097587146, '\n': -3.3290765, 'Yes': -3.819436, ' No': -3.8546348, ' ': -4.8848987}
{' Yes': -0.062367037, '\n': -3.534823, 'Yes': -3.7791963, ' ': -5.4193463, ' A': -6.36286}
{' No': -0.9864493, '\n': -1.2871294, ' Yes': -1.3697864, ' Tigers': -3.0963697, ' ': -3.747548}
{' Yes': -0.31599456, '\n': -2.0662138, ' No': -2.2495997, 'Yes': -3.8769782, ' ': -4.7205276}
{' Yes': -0.11495529, '\n': -3.2879858, ' No': -3.5713665, 'Yes': -4.116672, ' A': -4.3182096}
{' Yes': -0.07863971, '\n': -3.244218, 'Yes': -3.725267, ' ': -4.8796782, ' A': -5.847915}
{' Yes': -0.9391513, ' No': -1.2093941, ' Tigers': -1.8379095, '\n': -2.2747626, ' ': -3.6835186}
{' Yes': -0.39072168, '\n': -1.7011409, ' No': -2.6353085, ' Tigers': -3.5859728, ' ': -3.9060776}
{' Yes': -0.052449733, ' No': -4.1539836, '\n': -4.37857, ' A': -4.694522, ' ': -4.875829}
{' Yes': -0.023932494, '\n': -4.7369523, 'Yes': -5.1557684, ' ': -5.509072, ' A': -5.5808306}
{' No': -0.6878444, ' Yes': -1.6960899, '\n': -1.8270043, ' Tigers': -2.3022318, ' ': -3.3506382}
{' Yes': -0.32324535, ' No': -1.7927965, '\n': -2.9416878, ' Tigers': -3.5208025, ' ': -4.217897}
{' Yes': -0.22156055, ' No': -1.8522254, 'Yes': -4.039534, '\n': -4.5277953, ' ': -5.1796923}
{' Yes': -0.04525378, 'Yes': -3.638733, '\n': -4.620485, ' ': -5.7134147, ' No': -5.8141775}
{' No': -0.1292815, ' Tigers': -3.322095, '\n': -3.6625853, ' Yes': -3.7049208, 'No': -3.9116926}
{' No': -0.58225507, ' Yes': -1.095925, '\n': -2.8543305, 'No': -4.1158147, ' ': -4.201325}
{' Yes': -0.03864413, 'Yes': -4.0899496, '\n': -4.721454, ' ': -5.213054, ' yes': -5.602496}
{' Yes': -0.03739277, 'Yes': -4.1441336, '\n': -4.4974546, ' ': -5.367976, ' yes': -5.6323957}
{' Yes': -0.06866453, 'Yes': -3.7957723, '\n': -3.8810992, ' ': -4.535749, ' Tigers': -5.0384235}
{' Yes': -0.06481095, 'Yes': -3.8127644, '\n': -3.9299634, ' ': -5.0225325, ' No': -5.2515116}
{' Yes': -0.0038491278, 'Yes': -5.927322, ' No': -7.033326, ' yes': -9.449748, ' Generally': -9.76439}
{' Yes': -0.005750572, ' No': -5.9105887, 'Yes': -5.9639144, ' Generally': -8.88143, ' A': -8.980017}
{' Yes': -0.006809222, 'Yes': -5.319658, ' No': -6.5401454, ' Generally': -9.033374, ' Sn': -9.034741}
{' Yes': -0.013842613, ' No': -4.913348, 'Yes': -5.307452, ' S': -7.722735, ' Generally': -8.003649}
{' Yes': -0.044323303, ' No': -3.6653159, 'Yes': -4.3623943, ' Generally': -6.0797844, 'No': -6.7064576}
{' Yes': -0.15195058, ' No': -2.2206457, 'Yes': -4.1295123, 'No': -4.8487124, ' Generally': -5.097759}
{' Yes': -0.015345436, 'Yes': -4.4860387, ' No': -5.946469, ' Generally': -7.455945, ' ': -8.471793}
{' Yes': -0.02770847, 'Yes': -4.2347984, ' No': -4.528227, 'No': -7.318931, ' Generally': -7.4251995}
{' Yes': -0.052585233, ' No': -3.5694156, 'Yes': -4.1608405, '\n': -5.7341413, ' ': -6.2864885}
{' Yes': -0.6957515, ' No': -0.76416427, 'No': -4.0784473, 'Yes': -4.856434, '\n': -5.2743034}
{' Yes': -0.03493678, 'Yes': -3.8947313, ' No': -4.8246417, '\n': -5.685149, ' ': -6.6053915}
{' Yes': -0.13130668, ' No': -2.4574327, 'Yes': -3.7532609, 'No': -5.1681356, '\n': -5.541896}
{' Yes': -0.0050975834, 'Yes': -5.6217923, ' No': -6.78181, ' A': -9.088351, ' yes': -9.32878}
{' Yes': -0.012478728, ' No': -4.8117948, 'Yes': -5.6241474, ' A': -8.092483, 'No': -9.064397}
{' Yes': -0.0074716695, 'Yes': -5.0879273, ' No': -6.8463483, ' yes': -9.479555, ' ': -10.174272}
{' Yes': -0.050237816, ' No': -3.2391703, 'Yes': -4.8114033, 'No': -6.9110756, ' Sn': -8.509303}
{' No': -0.5747531, ' Yes': -1.0086044, 'No': -3.2444804, '\n': -4.6263795, 'Yes': -4.639029}
{' No': -0.08796762, 'No': -2.8284233, ' Yes': -4.3563027, '\n': -5.269032, ' ': -5.618548}
{' Yes': -0.05018592, 'Yes': -3.364517, '\n': -5.3604903, ' No': -5.403394, ' ': -6.0233645}
{' Yes': -0.3471136, ' No': -1.4751941, 'Yes': -3.6554918, 'No': -3.784621, '\n': -5.447501}
{' Yes': -0.050426114, ' No': -3.8209145, 'Yes': -3.978248, ' Generally': -5.9292655, ' ': -6.4106045}
{' Yes': -0.17299636, ' No': -2.095476, 'Yes': -4.132753, 'No': -4.8365397, ' Generally': -5.299623}
{' Yes': -0.029096417, 'Yes': -3.7761836, ' No': -6.5664916, ' Generally': -6.640886, ' ': -6.6727386}
{' Yes': -0.093645014, ' No': -2.9506736, 'Yes': -3.689512, 'No': -5.380522, ' Generally': -6.109232}
{' Yes': -0.0046558464, 'Yes': -5.9233685, ' yes': -7.2411194, ' ': -7.460148, '\n': -8.054861}
{' Yes': -0.0029436925, 'Yes': -6.4226675, ' yes': -7.6336803, ' No': -8.053883, ' ': -8.19337}
{' Yes': -0.0035404256, 'Yes': -6.0447974, '\n': -7.786663, ' yes': -8.068285, ' No': -8.42539}
{' Yes': -0.035260573, ' No': -3.5151858, 'Yes': -6.019149, '\n': -7.0588107, ' ': -7.222411}
{' Yes': -0.10628449, ' No': -2.86951, 'Yes': -4.139058, '\n': -4.1438556, ' ': -4.950063}
{' Yes': -0.550006, ' No': -0.99511814, 'No': -4.185851, '\n': -4.1959925, 'Yes': -4.6278524}
{' Yes': -0.019004345, 'Yes': -4.258849, '\n': -6.290532, ' ': -6.887798, ' No': -7.1309958}
{' Yes': -0.036257003, 'Yes': -4.099428, ' No': -4.3255253, '\n': -6.2025447, ' ': -6.6441994}
{' Yes': -0.3855817, '\n': -1.6614873, ' No': -2.6659925, ' ': -3.4604414, 'Yes': -3.9138906}
{' No': -0.7106119, ' Yes': -1.3747467, '\n': -1.6471792, ' ': -3.6394083, 'No': -3.8788455}
{' Yes': -0.50538844, '\n': -1.3774321, ' No': -2.3472254, ' ': -3.8177643, 'Yes': -3.9870148}
{' No': -0.51614255, '\n': -1.5371099, ' Yes': -2.009587, 'No': -3.751351, ' ': -4.0255055}
{' Yes': -0.0058535095, 'Yes': -5.9869304, ' No': -6.1897273, ' ': -7.224575, ' yes': -8.180587}
{' Yes': -0.006255345, ' No': -5.5952134, 'Yes': -6.5388975, ' ': -7.7865477, ' A': -7.8051753}
{' Yes': -0.0040369625, 'Yes': -6.026699, ' No': -6.834627, ' ': -8.399547, '\n': -8.748225}
{' Yes': -0.033209454, ' No': -3.5575874, 'Yes': -5.8968105, ' S': -7.3179455, ' ': -7.931801}
{' No': -0.37756816, 'No': -2.2352304, ' Yes': -2.2552516, '\n': -2.81968, ' ': -3.766175}
{' No': -0.24871735, 'No': -2.2119913, '\n': -3.1091874, ' Yes': -3.251094, ' ': -4.06437}
{' Yes': -0.30170706, ' No': -2.4445617, 'Yes': -2.4710834, '\n': -3.1930797, 'No': -4.2417326}
{' No': -0.23340423, 'No': -2.2138157, ' Yes': -3.1502168, '\n': -3.422857, ' ': -4.3966904}
{' Yes': -0.023290604, 'Yes': -4.53496, ' yes': -5.3946114, ' ': -5.8261657, ' No': -6.220683}
{' Yes': -0.01944724, 'Yes': -4.7245193, ' No': -5.658193, ' yes': -6.0134864, ' ': -6.253488}
{' Yes': -0.02772146, 'Yes': -4.111824, ' yes': -5.251245, ' ': -5.967689, '\n': -6.111992}
{' Yes': -0.028312188, 'Yes': -4.0737543, ' yes': -5.569955, ' No': -5.900096, ' ': -6.355865}
{' Yes': -0.03275895, 'Yes': -4.0511875, ' No': -4.5587063, ' A': -6.490358, ' yes': -6.8859444}
{' Yes': -0.11603436, ' No': -2.666783, 'Yes': -3.7062805, ' A': -5.1401277, 'No': -5.1844506}
{' Yes': -0.04935246, 'Yes': -3.2799354, ' No': -5.3791194, ' yes': -5.7467628, ' Generally': -7.2084403}
{' Yes': -0.1067089, 'Yes': -2.698092, ' No': -3.883261, 'No': -5.301497, ' yes': -5.7523537}
{' No': -0.1380303, ' Yes': -2.6953633, 'No': -2.8396733, 'Yes': -6.180613, ' ': -7.4816923}
{' No': -0.08576827, 'No': -2.7534947, ' Yes': -4.0624948, 'Yes': -7.5482903, ' ': -7.59289}
{' Yes': -0.14742701, ' No': -2.517775, 'Yes': -3.1459944, 'No': -4.3938127, ' yes': -7.799914}
{' No': -0.748202, ' Yes': -0.8849742, 'No': -2.4361713, 'Yes': -3.6745381, ' Generally': -7.9560504}
{' No': -0.30015463, ' Yes': -1.5432671, 'No': -3.270129, 'Yes': -5.2491426, ' ': -6.7264485}
{' No': -0.10665624, 'No': -2.8458986, ' Yes': -3.2134578, 'Yes': -6.7042074, ' ': -6.916201}
{' Yes': -0.22438847, 'Yes': -2.4195254, ' No': -2.4757295, 'No': -3.6659775, ' yes': -7.0284843}
{' No': -0.79380643, ' Yes': -0.9339623, 'No': -2.165379, 'Yes': -3.25857, ' ': -7.469587}
{' No': -0.36446774, ' Yes': -1.2175885, 'No': -5.0778937, 'Yes': -6.3834243, ' ': -6.837615}
{' No': -0.2796858, ' Yes': -1.4513376, 'No': -4.926286, 'Yes': -6.6737285, ' ': -7.105836}
{' Yes': -0.04033687, ' No': -3.8941958, 'Yes': -4.060583, 'No': -6.7688484, ' yes': -7.742035}
{' No': -0.6183612, ' Yes': -0.8462741, 'No': -3.7422776, 'Yes': -4.8662667, ' ': -8.15926}
{' No': -0.2813701, 'No': -1.4642886, ' Yes': -4.657953, 'Yes': -6.6109657, ' ': -6.786441}
{' No': -0.23021327, 'No': -1.589718, ' ': -7.2550697, '\n': -7.9137216, ' Yes': -9.078625}
{' Yes': -0.39773443, 'Yes': -1.8093385, ' No': -2.4802501, 'No': -2.6865242, ' Sn': -5.647284}
{' No': -0.62894857, 'No': -1.0301708, ' Yes': -2.5267355, 'Yes': -3.9767632, ' Sn': -5.8740883}
{' No': -0.27038375, ' Yes': -1.8351803, 'No': -2.8820662, 'Yes': -5.127819, '\n': -5.205648}
{' No': -0.118360296, 'No': -2.471277, ' Yes': -3.9078252, '\n': -6.0058303, ' ': -6.6011577}
{' Yes': -0.12281952, 'Yes': -2.821239, ' No': -3.2404687, 'No': -4.857927, ' Sn': -5.423898}
{' No': -0.22521985, 'No': -1.9058151, ' Yes': -3.105156, 'Yes': -5.552519, ' Sn': -6.1363716}
{' Yes': -0.052157745, ' yes': -3.0788338, 'Yes': -5.8374457, ' ': -6.777592, 'yes': -8.124141}
{' Yes': -0.01755594, ' yes': -4.2944837, 'Yes': -6.1354527, ' ': -6.914223, '\n': -8.283039}
{' Yes': -0.022369618, ' yes': -3.935509, 'Yes': -6.306122, ' ': -7.726158, '\n': -8.719039}
{' Yes': -0.00953246, ' yes': -5.0691123, 'Yes': -6.1340423, ' ': -7.6838355, '\n': -8.44192}
{' Yes': -0.041983947, 'Yes': -3.915233, ' yes': -4.656921, ' No': -5.2397566, '\n': -5.801084}
{' Yes': -0.2667632, ' No': -1.659118, 'Yes': -4.1048155, '\n': -4.6939006, 'No': -4.773679}
{' Yes': -0.027015766, 'Yes': -3.9309042, ' yes': -5.158695, '\n': -7.342441, ' ': -8.013138}
{' Yes': -0.029981062, 'Yes': -3.7812858, ' yes': -5.34456, '\n': -6.8750277, ' ': -7.493575}
{' Yes': -0.40712056, '\n': -1.9167813, ' No': -2.0678108, 'Yes': -3.6149144, ' ': -4.0150933}
{' No': -0.2871045, '\n': -2.1741855, ' Yes': -2.6542022, 'No': -3.0770595, ' ': -4.3488474}
{' Yes': -0.15573777, '\n': -2.7018785, 'Yes': -3.209195, ' No': -3.8178353, ' yes': -5.056376}
{' Yes': -0.68800104, '\n': -1.5280907, ' No': -1.5458254, 'Yes': -3.5149739, 'No': -4.059291}
{' Yes': -0.01238603, 'Yes': -5.2581725, ' No': -5.6142764, ' yes': -6.3418646, ' ': -6.925685}
{' Yes': -0.015375035, ' No': -4.8363967, 'Yes': -5.4572983, ' yes': -6.656343, ' ': -7.0906706}
{' Yes': -0.008752832, 'Yes': -5.2075386, ' yes': -6.626066, ' No': -6.6615276, '\n': -8.157585}
{' Yes': -0.01890855, ' No': -4.524747, 'Yes': -5.0381556, ' yes': -7.3332505, '\n': -8.240104}
{' No': -0.35739645, 'No': -1.9816887, '\n': -2.4467747, ' Yes': -3.03494, ' ': -4.173304}
{' No': -0.28603226, 'No': -1.8523431, '\n': -2.5877728, ' ': -4.659619, ' Yes': -5.5887938}
{' Yes': -0.17087911, 'Yes': -2.4908998, '\n': -3.3488994, ' yes': -4.0994983, ' No': -4.5230155}
{' No': -0.4908836, ' Yes': -1.7397887, 'No': -2.2464015, '\n': -2.6929996, 'Yes': -3.8504627}
{' Yes': -0.15133679, ' yes': -2.0681152, 'Yes': -4.668167, '\n': -6.43036, 'yes': -6.6647015}
{' Yes': -0.1114836, ' yes': -2.4122536, 'Yes': -4.6689005, '\n': -5.6106043, ' ': -6.5251374}
{' Yes': -0.11002812, ' yes': -2.4195526, 'Yes': -4.407965, 'yes': -6.739388, '\n': -7.070394}
{' Yes': -0.07392858, ' yes': -2.9162917, 'Yes': -4.308376, '\n': -6.3806014, ' ': -7.235163}
{' Yes': -0.010095321, '\n': -5.556177, 'Yes': -5.785608, ' ': -6.590236, ' No': -7.1283197}
{' Yes': -0.010491399, ' No': -5.618699, 'Yes': -6.204621, '\n': -6.235694, ' ': -6.778363}
{' Yes': -0.0217018, '\n': -4.331211, 'Yes': -5.455723, ' ': -6.2409363, ' No': -6.4905577}
{' Yes': -0.026455302, ' No': -4.2235775, '\n': -5.050654, 'Yes': -5.87246, ' ': -6.5861454}
{' Yes': -0.21395817, '\n': -1.9471831, ' ': -3.7675412, 'Yes': -4.1379466, ' No': -4.8074603}
{' Yes': -0.49493086, ' No': -1.5605552, '\n': -1.9868265, ' ': -4.004946, 'Yes': -4.601807}
{' Yes': -0.22474794, '\n': -1.7948049, 'Yes': -4.0467997, ' ': -4.5733175, ' No': -5.1948977}
{' Yes': -0.25943023, '\n': -1.791815, ' No': -3.5351164, 'Yes': -3.9641173, ' ': -4.633703}
{' Yes': -0.32955286, '\n': -1.714042, ' No': -3.0696497, ' ': -3.486005, 'Yes': -4.2360196}
{' No': -0.5017073, ' Yes': -1.6081296, '\n': -1.9928685, 'No': -3.8204114, ' ': -3.8786333}
{' Yes': -0.45062667, '\n': -1.5228331, ' No': -2.271849, ' ': -3.7769375, 'Yes': -4.541216}
{' No': -0.85025877, '\n': -1.3082361, ' Yes': -1.3819302, ' ': -3.787484, 'No': -4.363341}
{' Yes': -0.03875677, '\n': -4.1036005, ' ': -4.698819, ' No': -4.9334097, 'Yes': -5.631637}
{' Yes': -0.06675997, ' No': -3.4019668, '\n': -4.176707, ' ': -4.6830297, ' A': -5.7737494}
{' Yes': -0.052698575, '\n': -3.368439, ' ': -4.817024, 'Yes': -5.0796742, ' No': -6.2270713}
{' Yes': -0.08153739, ' No': -3.1927185, '\n': -3.6605241, ' ': -5.297127, 'Yes': -5.3497334}
{' No': -0.15478326, '\n': -3.0061185, ' Yes': -3.0202901, 'No': -3.5861773, ' ': -4.2925987}
{' No': -0.058780637, 'No': -3.5744686, '\n': -4.214958, ' ': -5.072788, ' Yes': -5.3157196}
{' Yes': -0.43492916, ' No': -1.3385757, '\n': -2.969063, 'Yes': -4.1290455, ' ': -4.4584446}
{' No': -0.19778225, ' Yes': -2.4235435, '\n': -3.0290809, 'No': -3.7651172, ' ': -4.555593}
{' Yes': -0.06300698, '\n': -3.6865497, 'Yes': -4.195583, ' ': -4.3847055, ' yes': -5.0977435}
{' Yes': -0.049512096, '\n': -4.285081, 'Yes': -4.468669, ' ': -4.7942324, ' No': -4.909644}
{' Yes': -0.036359664, 'Yes': -4.0409484, '\n': -4.835277, ' yes': -5.129362, ' ': -5.660398}
{' Yes': -0.041883938, 'Yes': -4.12006, '\n': -4.6436276, ' yes': -5.1281323, ' No': -5.4598165}
{' No': -0.01182863, 'No': -4.476989, ' ': -9.002196, '\n': -9.450433, ' Generally': -9.455258}
{' No': -0.012108708, 'No': -4.485699, ' Generally': -7.960974, ' A': -8.605614, ' ': -9.364441}
{' No': -0.01937346, 'No': -3.998549, ' Generally': -7.9508266, '\n': -8.606909, ' Sn': -9.042402}
{' No': -0.019831652, 'No': -4.0803022, ' Generally': -6.5655274, ' Sn': -8.389848, ' S': -8.409528}
{' No': -0.054595396, 'No': -2.9547017, ' Generally': -7.860307, ' ': -7.9560685, ' A': -9.628738}
{' No': -0.05652055, 'No': -2.923126, ' Generally': -7.4726176, ' ': -8.112605, ' A': -9.590205}
{' No': -0.045338415, 'No': -3.1509118, ' Generally': -7.605587, ' ': -7.850153, '\n': -8.657841}
{' No': -0.05758908, 'No': -2.941971, ' Generally': -6.3910446, ' ': -7.9565864, ' S': -8.510156}
{' No': -0.053657327, 'No': -3.0624688, '\n': -5.57669, ' ': -6.628534, ' Generally': -9.219658}
{' No': -0.048989695, 'No': -3.1303573, '\n': -5.9439387, ' ': -6.8192954, ' Generally': -9.048626}
{' No': -0.07246502, 'No': -2.7832708, '\n': -5.2580533, ' ': -6.2848134, ' Sn': -8.137629}
{' No': -0.061049413, 'No': -2.9100332, '\n': -6.161135, ' ': -6.4774218, ' Sn': -7.894128}
{' No': -0.017729325, 'No': -4.0576596, ' ': -9.082548, ' A': -9.357332, ' Generally': -10.079331}
{' No': -0.016950676, 'No': -4.0993443, ' Generally': -9.441459, ' A': -9.448122, ' ': -10.076315}
{' No': -0.03100923, 'No': -3.4973729, ' ': -9.320737, ' Generally': -9.389456, '\n': -10.485537}
{' No': -0.029256037, 'No': -3.567952, ' Generally': -7.9945436, ' ': -9.474981, ' Cam': -9.579258}
{' No': -0.096958734, 'No': -2.5046124, '\n': -5.0874047, ' ': -5.783453, ' Generally': -7.5094023}
{' No': -0.08028804, 'No': -2.6324883, '\n': -6.207696, ' ': -6.233046, ' Generally': -7.5416713}
{' No': -0.10083707, 'No': -2.5480053, '\n': -4.7587214, ' ': -5.4669147, ' Sn': -6.531757}
{' No': -0.08918175, 'No': -2.5571957, ' ': -6.162784, '\n': -6.275554, ' Generally': -6.5629797}
{' No': -0.071666226, 'No': -2.7380748, ' ': -6.4663973, ' Generally': -6.9690437, '\n': -7.039277}
{' No': -0.08282712, 'No': -2.574328, ' Generally': -7.0004754, ' ': -7.0152283, '\n': -7.3360653}
{' No': -0.08976689, 'No': -2.5222447, ' ': -6.3351026, ' Generally': -6.5180564, '\n': -7.1180077}
{' No': -0.07669762, 'No': -2.6709588, ' Generally': -6.4756575, ' ': -6.6955996, ' Sn': -7.821006}
{' No': -0.0071350187, 'No': -5.2030463, ' ': -7.032075, '\n': -7.5124016, ' A': -9.452841}
{' No': -0.003473194, 'No': -5.8071284, ' ': -8.352222, '\n': -9.178406, ' A': -9.385649}
{' No': -0.009623873, 'No': -4.886262, '\n': -6.5528784, ' ': -7.6363916, ' Sn': -10.453914}
{' No': -0.008047472, 'No': -4.9459743, '\n': -7.5201573, ' ': -8.251461, ' S': -9.666838}
{' No': -0.06733839, 'No': -2.969045, '\n': -4.7397356, ' ': -5.4164233, ' A': -8.313631}
{' No': -0.04945911, 'No': -3.207584, '\n': -5.308374, ' ': -6.0433917, ' A': -8.257987}
{' No': -0.045605637, 'No': -3.2861223, '\n': -5.4333487, ' ': -6.0664034, ' Sn': -8.910351}
{' No': -0.039569587, 'No': -3.3379269, '\n': -6.577676, ' ': -6.6956267, ' S': -8.450063}
{' No': -0.17596196, '\n': -2.2067082, 'No': -3.2966661, ' ': -4.3547835, ' A': -7.4650884}
{' No': -0.1424589, '\n': -2.5032759, 'No': -3.2237728, ' ': -4.6225023, ' A': -7.1926937}
{' No': -0.306034, '\n': -1.5590152, 'No': -3.3749597, ' ': -4.0368996, ' S': -8.222705}
{' No': -0.18847018, '\n': -2.116794, 'No': -3.207288, ' ': -4.6759157, ' S': -7.3836327}
{' No': -0.008321926, 'No': -4.929779, ' ': -7.1035595, '\n': -9.021704, ' A': -9.567627}
{' No': -0.00712283, 'No': -5.015015, ' ': -8.046129, ' A': -9.611698, '\n': -10.076359}
{' No': -0.010851237, 'No': -4.6011124, ' ': -7.6724277, '\n': -8.391861, ' Sn': -11.068883}
{' No': -0.010827197, 'No': -4.5624723, ' ': -8.557153, '\n': -9.76834, ' S': -10.306726}
{' No': -0.16569367, 'No': -2.2084334, '\n': -3.5740206, ' ': -4.3936462, ' NO': -7.2529883}
{' No': -0.14926313, 'No': -2.164089, '\n': -4.185701, ' ': -4.915563, ' A': -7.6020856}
{' No': -0.14685325, 'No': -2.355149, '\n': -3.5348747, ' ': -4.5316935, ' NO': -7.6897345}
{' No': -0.14509977, 'No': -2.2098448, '\n': -4.1296844, ' ': -4.8983727, ' S': -7.258877}
{' No': -0.04994077, 'No': -3.1883283, ' ': -5.5268598, '\n': -6.1813917, ' A': -7.5373225}
{' No': -0.03590477, 'No': -3.4566371, ' ': -6.2396564, '\n': -6.9478464, ' A': -7.7391953}
{' No': -0.0458227, 'No': -3.3721411, ' ': -5.2377133, '\n': -5.600614, ' Sn': -7.939342}
{' No': -0.037409045, 'No': -3.413185, ' ': -6.3070164, '\n': -6.9317694, ' S': -8.3124695}
{' No': -0.055662315, 'No': -2.9493542, ' ': -7.4350405, ' A': -7.555249, '\n': -8.660895}
{' No': -0.08351613, 'No': -2.5555599, ' A': -7.132021, ' ': -7.310671, '\n': -8.073324}
{' No': -0.13082254, 'No': -2.139518, ' Generally': -6.677615, '\n': -7.0112658, ' ': -7.071553}
{' No': -0.16263989, 'No': -1.9303743, ' ': -6.85044, '\n': -6.887373, ' Generally': -7.073616}
{' No': -0.086073354, 'No': -2.50137, ' ': -8.241362, ' no': -9.382483, ' NO': -9.880452}
{' No': -0.0804459, 'No': -2.5655456, ' ': -8.278436, ' no': -9.716152, 'no': -10.420532}
{' No': -0.13170104, 'No': -2.0942483, ' ': -9.207665, ' Sn': -10.351279, ' Generally': -10.7367115}
{' No': -0.16142553, 'No': -1.9083337, ' Generally': -8.51987, ' ': -8.766368, ' Sn': -8.8839445}
{' No': -0.06781675, 'No': -2.760266, '\n': -6.913659, ' ': -7.1273932, ' no': -8.612697}
{' No': -0.078165494, 'No': -2.6056845, ' ': -7.284866, '\n': -7.9479117, ' no': -9.477829}
