{' Yes': -0.04511578, ' Generally': -3.6469321, ' No': -4.4161234, 'Yes': -5.597255, ' Typically': -7.983192}
{' Yes': -0.42112055, ' No': -1.5610228, ' It': -3.3633432, 'No': -3.8809612, ' Generally': -3.9217749}
{' No': -0.08263198, 'No': -2.7231214, '\n': -5.2884274, ' Yes': -5.8388224, ' ': -6.182468}
{' Yes': -0.06535262, 'Yes': -3.900588, ' No': -4.6771345, ' Generally': -4.7378817, ' It': -4.907054}
{' Yes': -0.017233951, 'Yes': -4.2467375, '\n': -7.20304, ' ': -7.404584, ' yes': -7.766469}
{' Yes': -0.44878194, ' No': -1.9569606, '\n': -2.179569, 'Yes': -3.5812814, ' ': -3.785694}
{' No': -0.18832836, 'No': -2.4172025, '\n': -2.7393787, ' ': -4.709641, ' A': -5.245394}
{'\n': -1.0094595, ' No': -1.476491, ' Yes': -1.9059516, ' ': -2.6573515, ' M': -2.7430944}
{' No': -0.64603597, ' Yes': -1.4580991, '\n': -1.8519685, 'No': -3.148439, ' ': -4.049373}
{' Yes': -0.0064658327, 'Yes': -5.771936, ' No': -6.2002826, ' ': -8.020777, ' yes': -8.315452}
{' No': -0.18910383, ' Yes': -1.832199, 'No': -4.679071, ' ': -6.7207084, 'Yes': -7.056228}
{' Yes': -0.02057507, ' No': -4.8864594, 'Yes': -5.108969, ' M': -6.5182076, ' Generally': -6.6201725}
{' Yes': -0.0059175417, 'Yes': -5.6051526, ' No': -6.318526, ' yes': -8.752477, ' ': -8.900606}
{' No': -0.50121105, 'No': -1.3833903, ' Yes': -2.6631851, '\n': -3.33359, ' ': -4.243748}
{' No': -0.2430142, 'No': -1.6779946, '\n': -4.0158124, ' ': -4.8591557, ' A': -6.6701026}
{' No': -0.9843384, ' Yes': -1.3267474, 'No': -1.5637223, '\n': -2.9218915, 'Yes': -3.0732093}
{' No': -0.28219625, 'No': -1.7216057, '\n': -3.768612, ' M': -4.391203, ' Yes': -4.4385567}
{' Yes': -0.024938395, 'Yes': -4.432279, ' yes': -5.487573, ' Generally': -5.6831746, ' ': -6.6515064}
{' Yes': -0.05638332, ' No': -3.9146767, 'Yes': -4.123913, ' yes': -4.9451017, ' ': -5.702923}
{' Yes': -0.039592527, 'Yes': -3.936668, ' yes': -5.09716, ' Generally': -5.7633414, ' M': -6.0102334}
{' Yes': -0.02503373, 'Yes': -4.120931, ' yes': -5.18374, ' ': -7.1430087, ' M': -7.484249}
{' Yes': -0.059773512, 'Yes': -3.4261255, ' Generally': -4.6942925, ' yes': -5.3689866, ' It': -5.555989}
{' Yes': -0.12594578, ' No': -3.2372625, 'Yes': -3.354011, ' Generally': -4.449015, ' A': -4.518004}
{' Yes': -0.40034845, ' It': -2.525417, ' No': -2.8506122, ' Generally': -3.2494326, 'Yes': -3.2668188}
{' Yes': -0.15919939, ' No': -2.982165, 'Yes': -3.063979, ' M': -4.0716453, ' yes': -4.462155}
{' No': -0.6166876, ' Yes': -1.1472434, 'No': -2.1968572, 'Yes': -4.0517077, ' Generally': -4.9264503}
{' No': -0.19915591, 'No': -1.9294016, ' Yes': -3.4414005, 'Yes': -6.2945423, ' ': -7.7969856}
{' Yes': -0.218155, ' No': -2.7607498, 'Yes': -3.006098, ' Generally': -3.6340656, 'No': -3.902492}
{' Yes': -0.48316476, ' No': -1.2377043, 'No': -2.9627674, 'Yes': -3.2706192, ' M': -6.9999785}
{' Yes': -0.06731525, 'Yes': -3.2044055, ' No': -4.671693, ' It': -5.138873, ' Generally': -5.4841566}
{' No': -0.45579952, 'No': -1.6648144, ' Yes': -1.8390907, 'Yes': -4.29163, ' Generally': -6.8042355}
{' Yes': -0.432722, ' No': -1.9383793, 'Yes': -2.826597, ' It': -2.8394735, 'No': -2.947294}
{' Yes': -0.27419034, ' No': -1.9983017, 'Yes': -2.713636, 'No': -3.4260225, ' M': -6.499607}
{' Yes': -0.06328761, ' No': -3.1756244, 'Yes': -4.3899956, ' Generally': -5.817668, 'No': -6.4322104}
{' Yes': -0.65810394, ' No': -0.7853164, 'No': -4.1332436, 'Yes': -4.8062572, ' ': -7.391668}
{' Yes': -0.082790665, ' No': -3.7870638, ' Generally': -4.020485, 'Yes': -4.032856, ' M': -4.691923}
{' Yes': -0.027816446, 'Yes': -4.1141925, ' No': -4.681394, ' yes': -7.620058, ' M': -7.649795}
{' No': -0.7373009, 'No': -0.9288788, ' Yes': -3.084873, ' M': -4.0544467, ' Generally': -4.377508}
{' No': -0.6519354, 'No': -0.75045955, ' M': -6.747462, ' Generally': -6.8511276, ' ': -6.918266}
{' Yes': -0.6927004, 'Yes': -2.1472845, 'No': -2.27217, ' No': -2.496934, ' M': -2.7316217}
{' No': -0.6776386, 'No': -0.9411579, ' Yes': -3.1621296, ' M': -4.1320853, 'M': -4.20293}
{' Yes': -0.054688882, 'Yes': -3.1302066, ' yes': -5.3712893, ' No': -6.802853, '\n': -7.113487}
{' Yes': -0.15676714, ' No': -2.8837433, 'Yes': -3.1162016, 'No': -4.4215813, '\n': -4.654444}
{' Yes': -0.1513802, 'Yes': -3.069202, ' No': -3.7309127, ' Generally': -3.8042445, ' M': -4.0842547}
{' Yes': -0.11667717, 'Yes': -2.9965196, ' No': -3.1018686, 'No': -4.984473, ' M': -5.66787}
{' Yes': -0.034243736, ' yes': -3.6739628, 'Yes': -5.103957, ' ': -6.852501, '\n': -7.570387}
{' Yes': -0.06438218, ' yes': -3.0192235, 'Yes': -4.730222, ' ': -5.9884176, '\n': -7.196871}
{' Yes': -0.040839978, ' yes': -3.6512258, 'Yes': -5.155523, ' No': -5.3373046, ' ': -6.791485}
{' Yes': -0.014207528, ' yes': -4.5994773, 'Yes': -5.7273474, ' ': -7.880079, ' YES': -8.729711}
{' Yes': -0.048370097, 'Yes': -3.8716238, ' yes': -5.207208, ' It': -5.345304, ' Generally': -5.428991}
{' Yes': -0.15727471, ' No': -2.473246, 'Yes': -3.6500304, ' yes': -4.761221, 'No': -4.822174}
{' Yes': -0.056672182, 'Yes': -3.6086338, ' Generally': -5.056979, ' yes': -5.2251043, ' It': -5.4166307}
{' Yes': -0.036291923, 'Yes': -3.6295154, ' yes': -5.0149198, '\n': -6.7814813, ' ': -7.2998834}
{' Yes': -0.20509292, '\n': -2.588239, 'Yes': -2.8778605, ' No': -3.939935, ' ': -4.609881}
{' No': -0.62815267, ' Yes': -1.6688173, 'No': -2.2036684, '\n': -2.238304, ' A': -3.8801305}
{' Yes': -0.31776857, '\n': -2.1520715, 'Yes': -2.668673, ' ': -4.0864367, ' It': -4.2353063}
{' Yes': -0.124852516, 'Yes': -2.7295125, '\n': -3.454667, ' yes': -5.0638323, ' No': -5.549529}
{' Yes': -0.009675929, 'Yes': -5.150173, ' yes': -6.2934318, ' Generally': -7.2464557, ' ': -7.748876}
{' Yes': -0.023811202, 'Yes': -4.536566, ' No': -4.9441524, ' yes': -5.9595118, ' ': -6.644037}
{' Yes': -0.02616096, 'Yes': -4.344808, ' yes': -5.8038683, ' M': -6.2784243, ' No': -6.3067718}
{' Yes': -0.010770018, 'Yes': -4.7624407, ' yes': -7.034405, ' No': -7.246869, ' ': -8.590105}
{' No': -0.4413096, 'No': -1.327458, '\n': -2.885346, ' Yes': -4.0384946, ' ': -4.5800567}
{' No': -0.32578534, 'No': -1.4374205, '\n': -3.5226505, ' ': -5.0696692, ' no': -5.993703}
{' No': -0.96475923, 'No': -1.3562788, ' Yes': -1.4805999, '\n': -2.9063447, 'Yes': -3.1605258}
{' No': -0.30547336, 'No': -1.5398121, '\n': -3.5093057, ' ': -5.001256, ' Yes': -5.5051365}
{' Yes': -0.091429695, ' yes': -2.717961, 'Yes': -4.2655854, ' ': -6.304411, '\n': -6.3129277}
{' Yes': -0.15690039, ' yes': -2.1478863, 'Yes': -4.0188165, '\n': -5.6398787, ' ': -5.9894743}
{' Yes': -0.12775885, ' yes': -2.5157611, 'Yes': -3.9102504, '\n': -5.133142, ' ': -5.88125}
{' Yes': -0.14357126, ' yes': -2.2751667, 'Yes': -3.7460623, 'yes': -5.9867764, '\n': -6.030493}
{' Yes': -0.011935693, 'Yes': -5.398748, '\n': -5.731054, ' ': -6.7529254, ' Generally': -6.7575674}
{' Yes': -0.012710271, 'Yes': -5.2688785, '\n': -5.9773417, ' No': -6.0440574, ' ': -6.6591864}
{' Yes': -0.049149398, '\n': -3.8588095, ' No': -4.7314234, 'Yes': -5.2156115, ' Generally': -5.265355}
{' Yes': -0.008938947, 'Yes': -5.6179724, '\n': -5.8936067, ' ': -6.9871583, ' No': -7.039344}
{' Yes': -0.109682985, ' No': -3.4734695, 'Yes': -3.7407312, '\n': -3.7797172, ' ': -4.8700986}
{' Yes': -0.48965308, ' No': -1.4158578, '\n': -2.5400107, 'Yes': -3.8003943, 'No': -3.8411448}
{' Yes': -0.18032497, '\n': -2.7257235, 'Yes': -3.8245852, ' Generally': -4.0988393, ' ': -4.1077657}
{' Yes': -0.079860695, '\n': -3.1960332, 'Yes': -3.7194462, ' ': -5.2770596, ' No': -5.5463176}
{' Yes': -0.26937833, ' No': -2.101524, '\n': -3.369857, 'Yes': -3.9534926, ' A': -3.9758794}
{' No': -0.368567, ' Yes': -1.7852157, 'No': -2.8739495, '\n': -3.0316374, ' A': -4.215178}
{' No': -0.7545582, ' Yes': -1.4903638, ' M': -2.2967794, '\n': -2.634977, 'No': -3.1817908}
{' Yes': -0.28759882, ' No': -1.9949982, '\n': -3.1621275, ' M': -3.6714413, 'Yes': -3.7504835}
{' Yes': -0.10876175, ' No': -2.7067306, '\n': -4.3009667, ' ': -4.7513585, 'Yes': -5.123776}
{' No': -0.2997444, ' Yes': -1.618964, '\n': -3.74441, 'No': -4.043179, ' ': -4.1544466}
{' No': -0.80018926, ' Yes': -0.81682897, '\n': -2.937444, 'No': -4.0359354, ' ': -4.046235}
{' Yes': -0.16180778, ' No': -2.1849744, '\n': -4.056339, ' ': -4.723243, 'Yes': -4.940025}
{' No': -0.14828339, 'No': -2.5705514, ' Yes': -3.194548, '\n': -4.8152943, ' ': -4.962565}
{' No': -0.084646486, 'No': -2.633919, '\n': -5.2367134, ' ': -5.7521977, ' A': -7.7757463}
{' No': -0.33946487, ' Yes': -1.7932519, 'No': -2.7122884, '\n': -4.2479405, ' M': -4.2852387}
{' No': -0.07015006, 'No': -3.1114116, '\n': -4.51695, ' ': -4.985006, ' M': -6.0420938}
{' Yes': -0.037908457, 'Yes': -4.288021, '\n': -4.875234, ' yes': -5.246878, ' ': -5.351735}
{' Yes': -0.072929524, 'Yes': -3.858141, '\n': -4.113873, ' yes': -4.371859, ' No': -4.681521}
{' Yes': -0.033822175, 'Yes': -4.3169255, ' yes': -5.2566137, '\n': -5.694308, ' ': -5.775445}
{' Yes': -0.027108481, 'Yes': -4.2137694, ' yes': -5.247594, '\n': -5.801784, ' ': -6.3349457}
{' No': -0.07760616, 'No': -3.4510667, ' Generally': -3.54059, ' It': -5.0909023, ' Not': -6.445791}
{' No': -0.045591973, 'No': -3.1908689, ' Generally': -6.1019936, ' A': -8.365752, ' It': -8.56996}
{' No': -0.30678648, ' Generally': -2.5824745, ' It': -2.7781684, 'No': -3.0400054, ' M': -3.6948135}
{' No': -0.025745913, 'No': -3.691916, ' Generally': -8.428007, ' ': -9.303242, '\n': -9.349665}
{' No': -0.09672614, 'No': -2.714684, ' Generally': -4.1658406, ' It': -5.7860856, ' A': -6.502091}
{' No': -0.08096333, 'No': -2.6207545, ' Generally': -5.8563175, ' Yes': -7.767542, ' A': -7.7706175}
{' No': -0.22412054, 'No': -2.4513068, ' It': -3.2788024, ' Generally': -3.361978, ' M': -4.0449386}
{' No': -0.05433803, 'No': -2.9557316, ' ': -7.7667723, ' M': -8.597304, '\n': -9.486589}
{' No': -0.11420092, 'No': -2.4162562, '\n': -4.808222, ' Generally': -5.844816, ' It': -6.1044807}
{' No': -0.121553324, 'No': -2.206846, '\n': -6.0891314, ' ': -7.2335334, ' Generally': -7.4768705}
{' No': -0.35750717, 'No': -2.106586, ' It': -2.298322, ' That': -3.983085, ' Not': -4.2538505}
{' No': -0.068112575, 'No': -2.7770526, '\n': -6.635217, ' ': -6.7270503, ' M': -7.380372}
{' No': -0.057741, 'No': -3.4573457, ' Generally': -4.0616565, ' It': -6.0166736, ' A': -6.9232287}
{' No': -0.028472112, 'No': -3.714976, ' Generally': -5.8811426, ' A': -8.050984, ' ': -9.068846}
{' No': -0.2963744, 'No': -2.4093752, ' Generally': -2.6579733, ' It': -3.276652, ' M': -3.6432505}
{' No': -0.03386398, 'No': -3.4150896, ' M': -8.779427, ' Generally': -8.899681, ' ': -9.616177}
{' No': -0.16724193, 'No': -2.015352, '\n': -4.517738, ' ': -5.818029, ' Generally': -6.544762}
{' No': -0.18352355, 'No': -1.8723814, '\n': -4.8170223, ' ': -6.1656094, ' Generally': -6.8418584}
{' No': -0.239605, 'No': -1.8875046, ' It': -4.2758217, ' M': -4.3301563, '\n': -4.9486246}
{' No': -0.1225902, 'No': -2.236928, '\n': -5.922708, ' ': -5.940226, ' M': -6.723622}
{' No': -0.12526616, 'No': -2.4346304, ' Generally': -4.094861, ' M': -6.080487, ' A': -6.352318}
{' No': -0.1266747, 'No': -2.249855, ' Generally': -4.888141, ' A': -6.635411, '\n': -6.878786}
{' No': -0.32234272, 'No': -2.258002, ' Generally': -2.9660673, ' M': -3.0659492, ' It': -3.7727907}
{' No': -0.09389123, 'No': -2.4571228, ' M': -6.723671, ' ': -6.942773, '\n': -8.023689}
{' No': -0.014337279, 'No': -4.5774627, '\n': -6.538309, ' ': -7.0229106, ' Generally': -7.5694766}
{' No': -0.0092053395, 'No': -4.8676324, ' ': -7.087553, '\n': -7.6566563, ' A': -9.640115}
{' No': -0.033398695, 'No': -3.872613, '\n': -5.071061, ' ': -5.9805284, ' Generally': -7.044543}
{' No': -0.007065985, 'No': -5.187722, '\n': -7.2415323, ' ': -7.347032, ' M': -10.610705}
{' No': -0.06370425, 'No': -2.977734, '\n': -4.9627156, ' ': -5.906676, ' A': -7.4900556}
{' No': -0.080861285, 'No': -2.6370842, '\n': -5.641343, ' ': -6.4515486, ' A': -7.463832}
{' No': -0.111725524, 'No': -2.415425, '\n': -5.5224824, ' M': -5.681021, ' ': -5.691292}
{' No': -0.03551289, 'No': -3.4389167, ' ': -6.551149, '\n': -6.88179, ' M': -9.170527}
{' No': -0.22038072, 'No': -2.2406404, '\n': -2.5466383, ' ': -4.5746517, ' A': -6.548163}
{' No': -0.18080665, 'No': -2.3258777, '\n': -2.8357995, ' ': -4.9876494, ' A': -6.5814953}
{' No': -0.4778177, '\n': -1.4884416, 'No': -2.1498759, ' ': -3.5593622, ' M': -5.5598116}
{' No': -0.20531934, '\n': -2.2459192, 'No': -2.7066753, ' ': -4.4616594, ' M': -7.8195896}
{' No': -0.014995356, 'No': -4.255008, ' ': -7.868211, '\n': -8.892114, ' A': -9.775736}
{' No': -0.011318384, 'No': -4.541754, ' ': -7.701872, '\n': -9.387444, ' no': -10.740396}
{' No': -0.049843658, 'No': -3.1428936, ' It': -6.4600224, '\n': -6.735581, ' ': -6.9005823}
{' No': -0.009301955, 'No': -4.716539, ' ': -8.34448, '\n': -9.993186, ' M': -11.58353}
{' No': -0.31918743, 'No': -1.4068797, '\n': -4.0064793, ' ': -4.8622627, ' A': -6.8031797}
{' No': -0.2720926, 'No': -1.5389364, '\n': -4.181444, ' ': -5.071574, ' A': -7.098198}
{' No': -0.37709063, 'No': -1.289202, '\n': -3.753784, ' ': -4.518884, ' M': -6.371786}
{' No': -0.19950105, 'No': -1.829279, '\n': -4.6114197, ' ': -5.0476522, ' M': -6.2961526}
{' No': -0.05322234, 'No': -3.2005723, ' A': -5.7290874, ' ': -6.0023685, ' Generally': -6.070488}
{' No': -0.059928615, 'No': -2.9601912, ' ': -6.1924505, ' A': -6.558255, '\n': -6.84469}
{' No': -0.18354619, 'No': -2.2447186, ' M': -3.9958048, ' It': -4.476136, ' ': -4.9559393}
{' No': -0.065227784, 'No': -2.874758, ' ': -6.112959, ' M': -6.5425186, '\n': -6.630318}
{' No': -0.15402128, 'No': -2.060378, ' It': -5.678205, ' Generally': -5.727757, ' A': -6.005072}
{' No': -0.16264935, 'No': -1.9552575, ' A': -6.114167, ' Generally': -6.7410226, ' no': -6.9490705}
{' No': -0.518048, 'No': -1.6638229, ' It': -2.1992652, ' M': -3.8667626, ' That': -3.9896426}
{' No': -0.14103265, 'No': -2.0952106, ' no': -6.323484, '\n': -6.4596224, ' ': -6.533887}
{' No': -0.197373, 'No': -1.7259833, ' ': -7.9002767, ' no': -8.811411, ' M': -8.9}
{' No': -0.20569958, 'No': -1.6862104, ' ': -8.335842, ' no': -8.732887, 'no': -9.451302}
{' No': -0.31172028, 'No': -1.388367, ' It': -5.0397897, ' M': -5.5680447, ' Generally': -5.829098}
{' No': -0.1311673, 'No': -2.0997036, ' ': -8.758397, ' M': -9.642199, '\n': -10.081853}
{' No': -0.23708107, 'No': -1.5688757, '\n': -7.2299657, ' ': -7.417396, ' Not': -8.000004}
{' No': -0.23670198, 'No': -1.5646267, '\n': -7.40218, ' ': -7.548915, ' A': -9.099167}
{' No': -0.35174212, 'No': -1.3283943, ' It': -4.2931423, ' M': -5.3693523, ' Not': -5.599365}
{' No': -0.23520476, 'No': -1.5743104, ' ': -7.4581847, ' M': -7.461281, '\n': -7.5696955}
{' No': -0.03506153, 'No': -3.3831105, ' ': -8.454424, ' A': -9.633006, ' Generally': -9.721363}
{' No': -0.04276282, 'No': -3.1828384, ' ': -8.728241, ' A': -9.452996, ' no': -10.287931}
{' No': -0.16544889, 'No': -2.252439, ' M': -4.0299716, ' It': -4.174198, ' Generally': -5.0847683}
{' No': -0.035374682, 'No': -3.3801029, ' ': -8.125483, ' M': -8.603535, ' no': -10.135539}
{' No': -0.5868087, 'No': -0.83363104, '\n': -5.753196, ' ': -6.4737706, ' M': -6.503665}
{'No': -0.6034812, ' No': -0.80072975, '\n': -6.470387, ' ': -7.040853, ' M': -7.7730837}
{'No': -0.60763186, ' No': -0.89425886, ' M': -4.28648, ' It': -4.815694, 'M': -5.0884905}
{' No': -0.62088263, 'No': -0.78558415, 'M': -6.196589, ' M': -6.721065, ' MOT': -7.0895905}
{' No': -0.24330927, 'No': -1.6181892, ' M': -5.0971775, '\n': -5.4738426, 'M': -6.4225044}
{' No': -0.18462269, 'No': -1.8553073, ' M': -5.17499, '\n': -5.8060727, ' A': -6.777544}
{' No': -0.51271355, 'No': -1.6024047, ' M': -2.8245344, ' It': -3.0371354, ' That': -3.9617567}
{' No': -0.13671389, 'No': -2.0933943, ' M': -5.969483, 'M': -7.9562626, ' ': -7.960427}
{' No': -0.014781494, 'No': -4.627685, ' ': -5.99286, ' no': -6.535587, '\n': -7.3099093}
{' No': -0.023046786, 'No': -4.264023, ' ': -5.5564933, ' no': -5.596523, '\n': -7.3439116}
{' No': -0.017580207, 'No': -4.415737, ' ': -5.916724, '\n': -6.718251, ' no': -7.374347}
{' No': -0.009862818, 'No': -4.823538, ' ': -6.990225, ' no': -7.569067, '\n': -8.401056}
{' No': -0.082679816, 'No': -2.624487, ' ': -5.7993546, '\n': -5.888008, ' A': -7.983195}
{' No': -0.10000954, 'No': -2.4221609, ' ': -5.9569387, '\n': -5.984281, ' no': -7.237987}
{' No': -0.17089835, 'No': -1.9850692, '\n': -5.0005603, ' It': -5.295419, ' ': -5.4118648}
{' No': -0.073459364, 'No': -2.7527387, '\n': -5.5817356, ' ': -6.018329, ' no': -7.7927113}
{' No': -0.2405046, 'No': -1.888841, '\n': -2.9464006, ' ': -4.880456, ' A': -6.8359704}
{' No': -0.19704835, 'No': -1.9643403, '\n': -3.5410178, ' ': -5.042019, ' A': -6.7059736}
{' No': -0.48346978, 'No': -1.5463588, '\n': -1.9471347, ' ': -4.1177526, ' It': -5.2728353}
{' No': -0.16749187, 'No': -2.2920723, '\n': -3.1228943, ' ': -5.0037746, ' M': -7.230066}
{' No': -0.027920453, 'No': -3.6601183, ' ': -7.0237484, '\n': -7.667969, ' no': -8.907428}
{' No': -0.03539185, 'No': -3.4271305, ' ': -6.739325, '\n': -7.289683, ' no': -8.381203}
{' No': -0.0825183, 'No': -2.6775043, ' It': -5.432448, '\n': -6.066555, ' ': -6.5125775}
{' No': -0.01962563, 'No': -3.995711, ' ': -7.6488385, '\n': -8.115352, ' no': -8.78574}
{' No': -0.3870967, 'No': -1.3263555, '\n': -3.099556, ' ': -4.9351354, ' no': -6.569056}
{' No': -0.36120144, 'No': -1.3877039, '\n': -3.1475544, ' ': -5.056179, ' no': -6.14165}
{' No': -0.4683911, 'No': -1.1414123, '\n': -3.1756167, ' ': -4.734198, ' no': -6.880866}
{' No': -0.26427722, 'No': -1.5981776, '\n': -3.9200866, ' ': -5.155419, ' no': -6.4705753}
{' No': -0.07706046, 'No': -2.9635255, ' no': -5.1183906, ' ': -5.2914243, '\n': -5.476832}
{' No': -0.09527963, 'No': -2.7548351, ' no': -4.2125716, '\n': -5.437403, ' ': -5.622812}
{' No': -0.26778695, 'No': -2.3280363, ' It': -2.7448509, '\n': -4.2084637, ' M': -4.3727655}
{' No': -0.1019332, 'No': -2.6608264, ' no': -4.4193273, '\n': -4.9825797, ' ': -5.644274}
{' No': -0.026040068, 'No': -4.2856436, '\n': -4.8562593, ' ': -6.011954, ' Generally': -7.7433205}
{' No': -0.019010419, 'No': -4.3322654, '\n': -5.5705366, ' ': -6.5035067, ' A': -8.800681}
{' No': -0.056616046, '\n': -3.6160467, 'No': -4.0709515, ' ': -5.069851, ' It': -6.20063}
{' No': -0.016094137, 'No': -4.8907547, '\n': -5.10259, ' ': -6.145841, ' M': -9.45715}
{' No': -0.10974339, 'No': -2.6354697, '\n': -3.7034664, ' ': -5.0765195, ' A': -7.7640553}
{' No': -0.1182973, 'No': -2.5063055, '\n': -3.7465796, ' ': -5.2352977, ' A': -7.751062}
{' No': -0.16306385, '\n': -2.6418827, 'No': -2.7464645, ' ': -4.353698, ' M': -6.8943677}
{' No': -0.08584561, 'No': -3.161594, '\n': -3.4061656, ' ': -5.0831313, ' M': -8.570893}
{' No': -0.09005226, 'No': -2.791531, '\n': -4.0524526, ' ': -5.3000417, ' A': -6.503525}
{' No': -0.117696956, 'No': -2.5452254, '\n': -3.6731627, ' ': -5.257324, ' A': -6.7239895}
{' No': -0.13181427, 'No': -2.679601, '\n': -3.4221008, ' ': -4.466693, ' M': -5.0697494}
{' No': -0.07329651, 'No': -3.1924388, '\n': -3.8091514, ' ': -5.1179647, ' M': -7.128718}
{' No': -0.029882737, 'No': -3.7845688, ' ': -5.665762, '\n': -5.874164, ' A': -8.398371}
{' No': -0.035415437, 'No': -3.6626792, '\n': -5.393251, ' ': -5.4929905, ' A': -8.370205}
{' No': -0.057828087, 'No': -3.2368133, '\n': -4.690692, ' ': -5.1647177, ' M': -6.66515}
{' No': -0.027588492, 'No': -4.007815, '\n': -5.292559, ' ': -5.587172, ' M': -9.031687}
{' No': -0.070107736, 'No': -2.8831208, '\n': -5.1759806, ' ': -5.2691774, ' A': -7.395304}
{' No': -0.05616751, 'No': -3.0040927, '\n': -5.9329653, ' ': -6.4424033, ' A': -7.5588174}
{' No': -0.08422687, 'No': -2.779295, ' ': -4.6982517, '\n': -4.9516125, ' M': -6.5736876}
{' No': -0.05123261, 'No': -3.2496824, '\n': -5.289247, ' ': -5.3741236, ' M': -6.877278}
{' No': -0.077809595, 'No': -3.0273502, '\n': -4.3589926, ' ': -4.9725986, ' A': -5.7324934}
{' No': -0.07231361, 'No': -2.999836, '\n': -4.5886908, ' ': -5.241081, ' A': -6.352289}
{' No': -0.09865774, 'No': -2.9249938, '\n': -4.5595837, ' ': -4.644326, ' M': -4.874959}
{' No': -0.052127983, 'No': -3.3668954, '\n': -4.941066, ' ': -5.402399, ' M': -5.949561}
{' Yes': -0.017714582, 'Yes': -5.0550127, ' Generally': -5.212117, ' No': -5.611377, ' A': -6.989751}
{' Yes': -0.08077262, ' Generally': -3.039837, ' It': -4.690668, 'Yes': -4.775978, ' No': -5.1299286}
{' Yes': -0.03983366, ' No': -4.1814537, ' P': -4.4767575, 'Yes': -4.9980683, ' Generally': -5.454706}
{' Yes': -0.18923627, ' Generally': -2.4209504, ' It': -3.671004, ' P': -4.1822877, ' No': -4.474486}
{' Yes': -0.06688945, ' No': -3.350367, 'Yes': -4.0172048, ' Generally': -5.471318, ' A': -6.011084}
{' Yes': -0.0775125, ' No': -3.7722967, 'Yes': -4.013063, ' Generally': -4.0192294, ' It': -4.7423396}
{' Yes': -0.22435147, ' No': -1.8156563, ' P': -4.2594466, 'Yes': -4.302515, 'No': -4.948135}
{' Yes': -0.034255765, 'Yes': -4.41719, ' Generally': -4.7323127, ' No': -5.305822, ' It': -5.819713}
{' Yes': -0.09898053, ' No': -3.0362363, 'Yes': -3.5890753, '\n': -5.2050095, 'No': -5.5003395}
{' Yes': -0.19356447, ' No': -2.2593946, 'Yes': -3.7935684, ' It': -4.1423063, ' Generally': -4.6463575}
{' Yes': -0.52377653, ' No': -1.089666, ' P': -3.7375731, 'No': -3.8575509, 'Yes': -4.095918}
{' Yes': -0.15352637, ' No': -2.6721268, 'Yes': -3.7461238, ' Generally': -4.3978806, ' It': -4.595419}
{' Yes': -0.041534256, ' No': -4.040653, ' Generally': -4.853807, 'Yes': -4.9997883, ' A': -5.2086787}
{' Yes': -0.031816907, ' Generally': -3.931124, 'Yes': -5.0189667, ' No': -6.4787555, ' A': -6.918152}
{' Yes': -0.08404779, ' No': -3.4470336, ' P': -3.469891, 'Yes': -4.7347527, ' Generally': -5.0559278}
{' Yes': -0.17501342, ' Generally': -2.6737964, ' No': -3.668706, ' P': -3.8209486, ' It': -4.47144}
{' No': -0.29314122, 'No': -2.181277, ' Yes': -2.332848, ' Generally': -4.4810243, '\n': -4.6953406}
