{' Yes': -0.010687537, ' No': -4.721705, 'Yes': -6.4608536, ' Right': -10.454877, 'No': -10.500437}
{' Yes': -0.0007846584, 'Yes': -7.4776025, ' No': -8.586919, ' yes': -11.25119, ' YES': -11.561333}
{' Yes': -0.007949479, ' Ocean': -5.5643396, ' No': -5.7756777, 'Yes': -7.047282, ' yes': -9.7843485}
{' No': -0.54863, ' Yes': -1.5303615, ' Ocean': -1.6038402, ' Nope': -6.4701824, 'No': -6.74366}
{' Yes': -0.0008070274, 'Yes': -7.65217, ' No': -8.110361, ' yes': -11.053101, ' YES': -12.299918}
{' Yes': -0.0032599252, ' No': -5.983694, 'Yes': -7.3963776, ' yes': -10.148164, ' Sure': -10.874231}
{' Yes': -0.0010181, 'Yes': -6.9793468, ' yes': -10.225574, ' YES': -10.757687, '\n': -11.841005}
{' Yes': -0.00081824145, 'Yes': -7.217895, ' yes': -10.430354, ' YES': -10.764033, ' No': -11.061475}
{' Yes': -0.0005695159, 'Yes': -7.705683, ' Yep': -9.925296, ' Sure': -10.930594, ' YES': -10.933059}
{' Yes': -0.0005524597, 'Yes': -7.781054, ' Yep': -10.105256, ' Sure': -10.472606, ' No': -11.00207}
{' Yes': -0.015114376, ' Guard': -4.462237, 'Yes': -6.421208, ' Guardian': -7.3576555, ' No': -8.003931}
{' Yes': -0.039756812, ' Guard': -3.5019684, ' No': -5.826568, ' Guardian': -6.23964, 'Yes': -6.335497}
{' Yes': -0.0015583383, 'Yes': -6.7622676, ' Sweet': -8.630037, ' yes': -9.556829, ' YES': -9.858719}
{' Yes': -0.0059579536, ' Sweet': -5.7962866, 'Yes': -6.5807037, ' Swe': -7.027381, ' YES': -8.4435835}
{' Yes': -0.00050206826, 'Yes': -7.74802, ' No': -10.09782, ' yes': -10.977789, ' YES': -12.190597}
{' Yes': -0.00097233884, 'Yes': -7.4280996, ' No': -8.170215, ' Grass': -9.967272, ' yes': -10.362343}
{' Yes': -0.0006472888, 'Yes': -7.529679, ' yes': -9.651017, ' YES': -10.849522, ' Yeah': -11.961506}
{' Yes': -0.0010033031, 'Yes': -7.178758, ' yes': -8.856297, ' YES': -10.536666, ' Beard': -10.802937}
{' Yes': -0.01740873, ' No': -4.520012, 'Yes': -5.9129524, ' Girls': -6.0798016, ' G': -7.7921057}
{' Yes': -0.015928123, ' Girls': -4.9185405, ' No': -5.271955, 'Yes': -6.4615526, ' G': -7.4577947}
{' Yes': -0.0005579471, 'Yes': -7.685479, ' YES': -9.823478, ' yes': -10.818104, ' Yep': -12.292921}
{' Yes': -0.0016428749, 'Yes': -7.133965, ' Light': -7.602385, ' YES': -8.859892, ' No': -9.841729}
{' Yes': -0.0023284988, ' No': -6.7805057, 'Yes': -6.9211054, ' Spoon': -9.606023, ' Nope': -10.3770895}
{' Yes': -0.002957681, ' No': -6.053565, 'Yes': -7.5442457, ' Nope': -10.875826, ' yes': -11.360543}
{' Yes': -0.000886487, 'Yes': -7.135118, ' No': -10.532167, ' Sure': -10.964647, ' yes': -11.245283}
{' Yes': -0.00078859425, 'Yes': -7.234814, ' No': -10.582028, ' yes': -11.165602, ' YES': -11.796236}
{' Yes': -0.00072972104, 'Yes': -7.2756467, ' yes': -11.053818, ' YES': -11.464223, ' No': -12.504169}
{' Yes': -0.0009422091, 'Yes': -7.032438, ' yes': -10.768692, ' YES': -10.860562, ' No': -11.929847}
{' Yes': -0.009327704, ' No': -4.7757916, 'Yes': -7.232596, ' yes': -10.095184, ' YES': -10.98862}
{' Yes': -0.001009746, 'Yes': -7.335875, ' No': -8.932795, ' Seven': -9.234294, ' yes': -9.825514}
{' Yes': -0.000919001, 'Yes': -7.0731597, ' yes': -10.971282, ' YES': -11.376244, ' Sure': -11.410757}
{' Yes': -0.0005266365, 'Yes': -7.800718, ' No': -9.34861, ' yes': -11.698141, ' Sure': -11.949123}
{' Yes': -0.0046853707, ' Rough': -5.5577946, 'Yes': -7.3330007, ' Yeah': -10.032508, ' yes': -10.699262}
{' Yes': -0.03241221, ' Rough': -3.4957929, 'Yes': -7.006062, ' Yeah': -9.028964, ' No': -9.157549}
{' Yes': -0.0032275738, 'Yes': -6.030222, ' Dance': -7.726764, ' YES': -8.64999, ' yes': -9.008511}
{' Yes': -0.0023020937, 'Yes': -6.367758, ' Dance': -8.891411, ' YES': -8.895143, ' yes': -9.0696745}
{' Yes': -0.000389723, 'Yes': -7.9704, ' yes': -10.641359, ' YES': -11.072832, ' Salad': -13.33452}
{' Yes': -0.00037553246, 'Yes': -8.037174, ' yes': -10.880002, ' No': -11.176745, ' YES': -11.285513}
{' Yes': -0.0128199635, ' Looks': -5.111958, 'Yes': -5.724707, ' No': -6.22395, ' YES': -7.866307}
{' Yes': -0.035091594, ' Looks': -3.8997705, ' No': -4.8336887, 'Yes': -5.769926, ' Lo': -6.42903}
{' Yes': -0.003845298, ' Store': -5.875288, 'Yes': -7.6353264, ' Sure': -7.648905, ' yes': -10.413416}
{' Yes': -0.007931274, ' Sure': -5.631567, ' Store': -5.7845845, 'Yes': -7.1715946, ' St': -8.783048}
{' Yes': -0.0004971769, 'Yes': -7.7753897, ' yes': -10.207873, ' Break': -10.924941, ' YES': -11.491407}
{' Yes': -0.00191038, 'Yes': -6.85624, ' Break': -7.7192554, ' yes': -9.106284, ' YES': -9.779574}
{' Yes': -0.0011031248, 'Yes': -6.992348, ' Parts': -9.760727, ' yes': -10.004597, ' No': -10.580217}
{' Yes': -0.0021943245, 'Yes': -6.3909483, ' No': -8.399293, ' yes': -9.308618, ' Parts': -9.802293}
{' Yes': -0.003427078, 'Yes': -6.551667, ' Sh': -6.9486437, ' Sure': -7.812957, ' Sho': -8.649753}
{' Yes': -0.02191422, ' Sh': -4.2540345, ' Sho': -6.036692, 'Yes': -6.3417735, ' Sure': -6.644402}
{' Yes': -0.00079074275, 'Yes': -7.2483206, ' yes': -10.335534, ' YES': -10.906541, ' No': -11.852496}
{' Yes': -0.00096607424, 'Yes': -7.0437303, ' yes': -10.137897, ' YES': -10.823193, ' No': -11.360523}
{' Yes': -0.00037493455, 'Yes': -8.015483, ' yes': -10.870198, ' YES': -10.955976, ' Yeah': -12.788673}
{' Yes': -0.00060583797, 'Yes': -7.62132, ' yes': -10.156678, ' YES': -10.386077, ' Yeah': -11.244574}
{' Yes': -0.0938145, ' No': -2.4194963, 'Yes': -7.735418, 'No': -9.408889, ' yes': -10.46209}
{' Yes': -0.0005102993, 'Yes': -8.173442, ' No': -8.514401, ' yes': -10.888944, ' Sure': -13.01713}
{' Yes': -0.00037648613, 'Yes': -7.913195, ' yes': -12.244423, ' YES': -12.776826, ' No': -13.43163}
{' Yes': -0.0006888607, 'Yes': -7.321619, ' YES': -11.965057, ' Sure': -12.16931, ' yes': -12.28704}
{' Yes': -0.00055162434, 'Yes': -7.5358753, ' yes': -11.300783, ' YES': -13.077424, ' No': -13.785788}
{' Yes': -0.00219104, 'Yes': -6.765218, ' Arrow': -6.982518, ' yes': -10.065808, ' YES': -10.387708}
{' Yes': -0.0005529375, 'Yes': -7.719522, ' No': -9.469214, ' yes': -11.176809, ' YES': -12.060456}
{' Yes': -0.001540489, 'Yes': -6.8986406, ' No': -8.388354, ' Chain': -8.964765, ' yes': -10.18943}
{' Yes': -0.0003222875, 'Yes': -8.090747, ' yes': -11.412219, ' YES': -13.230786, ' No': -13.962585}
{' Yes': -0.0003566928, 'Yes': -8.019703, ' yes': -11.403506, ' No': -11.4337225, ' YES': -13.0074}
{' Yes': -0.0038461364, ' Heart': -5.994519, 'Yes': -6.7521443, ' YES': -9.575227, ' yes': -10.440068}
{' Yes': -0.005783485, ' Heart': -5.4546285, 'Yes': -6.7376256, ' YES': -9.235922, ' Yeah': -10.299125}
{' Yes': -0.0003751739, 'Yes': -8.123218, ' Sure': -9.719922, ' Horse': -12.0196495, ' yes': -12.446014}
{' Yes': -0.0006490788, 'Yes': -7.484846, ' Sure': -9.721834, ' YES': -11.9854355, ' yes': -12.155383}
